MarketCode,year_month,AdvParentCode,PCCSubCode,spend_total,units_total,n_spots
101,2022-01,14842,F221,2415.45,3,3
101,2022-01,14842,F222,22669.36,14,14
101,2022-01,1809,F224,30429.14,86,86
102,2022-01,14842,F222,4.57,1,1
105,2022-01,18823,F224,780.00,5,5
106,2022-01,1309000,F224,1105.27,13,13
106,2022-01,14842,F221,2906.29,13,13
106,2022-01,14842,F222,2809.48,10,10
108,2022-01,14842,F221,215.87,3,3
108,2022-01,14842,F222,27.90,2,2
111,2022-01,14842,F221,2748.15,2,2
111,2022-01,14842,F222,176.70,1,1
117,2022-01,14842,F222,61.31,1,1
119,2022-01,14842,F222,16.05,3,3
122,2022-01,11440,F221,10.40,1,1
122,2022-01,11440,F222,60.15,11,11
122,2022-01,1809,F172,5.99,1,1
123,2022-01,14842,F221,248.61,6,6
123,2022-01,14842,F222,244.80,6,6
124,2022-01,14842,F222,179.08,1,1
125,2022-01,14842,F222,37.20,2,2
126,2022-01,14842,F222,4.94,1,1
127,2022-01,14842,F212,44.64,1,1
128,2022-01,14842,F221,110.21,1,1
128,2022-01,1809,F224,15194.83,96,96
128,2022-01,2531252,F221,187.20,1,1
129,2022-01,11440,F222,948.60,16,16
130,2022-01,11440,F221,411.92,4,4
130,2022-01,14842,F222,117.80,2,2
131,2022-01,11440,F222,136.71,7,7
131,2022-01,11440,F224,6.51,1,1
131,2022-01,14842,F222,348.76,8,8
133,2022-01,14842,F221,110.46,6,6
133,2022-01,14842,F222,484.98,14,14
134,2022-01,14842,F222,178.16,3,3
135,2022-01,11440,F222,1788.56,8,8
135,2022-01,14842,F221,2530.29,26,26
135,2022-01,14842,F222,3219.52,24,24
136,2022-01,14842,F222,5.33,1,1
139,2022-01,11440,F224,38.26,1,1
141,2022-01,11440,F222,139.60,20,20
141,2022-01,11440,F224,84.28,1,1
141,2022-01,14842,F221,1234.35,17,17
143,2022-01,14842,F222,10.36,1,1
145,2022-01,14842,F221,625.73,15,15
145,2022-01,14842,F222,234.20,10,10
146,2022-01,11440,F222,96.04,3,3
146,2022-01,14842,F222,8.03,1,1
148,2022-01,14842,F212,127.88,1,1
149,2022-01,14842,F222,9.01,1,1
150,2022-01,11440,F222,158.20,20,20
151,2022-01,18823,F224,90.28,4,4
153,2022-01,1665,F221,2640.22,4,4
154,2022-01,11440,F222,54.52,2,2
157,2022-01,662519,F224,384.58,7,7
159,2022-01,11440,F222,69.76,2,2
160,2022-01,11440,F222,6429.98,63,63
161,2022-01,14842,F222,46.24,4,4
163,2022-01,14842,F221,16.00,2,2
163,2022-01,14842,F222,8.72,1,1
164,2022-01,11440,F222,46.50,2,2
166,2022-01,14842,F222,3596.43,5,5
170,2022-01,14842,F222,30.23,2,2
175,2022-01,2531252,F221,36.85,3,3
188,2022-01,11440,F222,3494.46,6,6
198,2022-01,11440,F222,40.79,2,2
200,2022-01,14842,F221,21.30,2,2
200,2022-01,14842,F222,114.30,6,6
202,2022-01,1809,F224,29159.65,99,99
206,2022-01,14842,F222,1.40,1,1
209,2022-01,9143,F224,342.59,5,5
210,2022-01,14842,F222,5.81,1,1
211,2022-01,1665,F221,137.61,3,3
213,2022-01,1665,F221,111.80,2,2
217,2022-01,1665,F221,158.84,2,2
218,2022-01,14842,F221,107.73,2,2
218,2022-01,1776144,F224,50.68,2,2
218,2022-01,1809,F224,32769.47,144,144
219,2022-01,14842,F221,18.51,3,3
219,2022-01,14842,F222,37.02,6,6
222,2022-01,11440,F224,35.08,2,2
223,2022-01,14842,F212,905.61,5,5
223,2022-01,14842,F221,2403.10,14,14
223,2022-01,14842,F222,2609.66,24,24
223,2022-01,1776144,F224,184.90,5,5
224,2022-01,14842,F222,4.65,1,1
224,2022-01,1665,F221,201.08,2,2
225,2022-01,14842,F221,63.70,7,7
225,2022-01,14842,F222,158.58,15,15
226,2022-01,14842,F221,594.04,4,4
226,2022-01,14842,F222,1039.57,7,7
227,2022-01,14842,F221,788.76,4,4
227,2022-01,14842,F222,788.76,4,4
228,2022-01,14842,F221,195.32,4,4
228,2022-01,14842,F222,292.98,6,6
230,2022-01,11440,F221,12.74,1,1
230,2022-01,11440,F222,129.43,14,14
230,2022-01,14842,F221,3523.28,43,43
230,2022-01,14842,F222,2185.30,21,21
231,2022-01,14842,F221,21.92,2,2
233,2022-01,14842,F221,17.44,2,2
233,2022-01,14842,F222,95.28,11,11
234,2022-01,14842,F222,3.72,4,4
235,2022-01,11440,F222,3456.51,10,10
235,2022-01,14842,F221,248.52,6,6
235,2022-01,14842,F222,332.22,12,12
235,2022-01,1776144,F224,124.80,5,5
236,2022-01,14842,F221,198.32,4,4
236,2022-01,14842,F222,495.80,10,10
236,2022-01,1776144,F224,149.50,5,5
237,2022-01,14842,F212,28.97,1,1
241,2022-01,14842,F221,200.07,3,3
241,2022-01,14842,F222,466.83,7,7
248,2022-01,14842,F212,98.12,1,1
248,2022-01,14842,F221,3017.96,60,60
250,2022-01,14842,F221,430.40,10,10
250,2022-01,14842,F222,446.46,15,15
252,2022-01,1309000,F224,106.66,5,5
256,2022-01,14842,F222,9.30,2,2
257,2022-01,14842,F222,4.50,1,1
258,2022-01,1665,F221,242.20,1,1
261,2022-01,14842,F221,13.95,1,1
261,2022-01,14842,F222,146.52,9,9
262,2022-01,14842,F221,3.26,1,1
262,2022-01,14842,F222,48.86,7,7
269,2022-01,1665,F221,17.68,3,3
270,2022-01,14842,F221,823.62,16,16
270,2022-01,14842,F222,919.92,26,26
286,2022-01,11440,F221,20.80,1,1
286,2022-01,11440,F222,111.60,12,12
291,2022-01,14842,F222,456.58,1,1
293,2022-01,14842,F221,612.10,7,7
293,2022-01,14842,F222,667.94,15,15
298,2022-01,11440,F221,77.92,1,1
298,2022-01,11440,F222,2278.48,8,8
302,2022-01,1665,F221,58.92,3,3
305,2022-01,1665,F221,15.60,3,3
305,2022-01,9143,F224,49.14,4,4
309,2022-01,14842,F221,13.50,5,5
309,2022-01,14842,F222,37.91,12,12
309,2022-01,1776144,F224,53.95,5,5
317,2022-01,14842,F221,271.94,15,15
324,2022-01,14842,F221,35.86,1,1
324,2022-01,14842,F222,35.86,1,1
336,2022-01,11440,F222,325.50,14,14
337,2022-01,14842,F212,21.31,1,1
344,2022-01,11440,F221,87.19,6,6
344,2022-01,1809,F172,170.97,7,7
345,2022-01,14842,F212,11.16,1,1
346,2022-01,14842,F221,1923.35,21,21
346,2022-01,14842,F222,620.63,11,11
351,2022-01,2531252,F221,100.75,1,1
352,2022-01,14842,F221,26.93,3,3
353,2022-01,14842,F221,344.08,3,3
353,2022-01,14842,F222,54.22,1,1
356,2022-01,14842,F222,4.65,1,1
365,2022-01,11440,F222,16.74,1,1
365,2022-01,11440,F224,93.00,1,1
365,2022-01,14842,F221,102.80,4,4
365,2022-01,14842,F222,108.64,7,7
370,2022-01,14842,F222,27.21,1,1
389,2022-01,14842,F221,122.50,2,2
390,2022-01,14842,F212,182.61,1,1
390,2022-01,14842,F221,8.68,1,1
390,2022-01,14842,F222,8.68,1,1
400,2022-01,11440,F221,1910.62,6,6
403,2022-01,11440,F221,3073.99,8,8
407,2022-01,11440,F221,660.16,8,8
407,2022-01,14842,F221,43.40,1,1
410,2022-01,14842,F222,4.19,1,1
411,2022-01,11440,F221,2162.96,31,31
411,2022-01,14842,F221,264.57,4,4
420,2022-01,14842,F222,30.35,1,1
439,2022-01,11440,F221,17648.61,25,25
455,2022-01,9143,F224,199.07,14,14
462,2022-01,14842,F222,23.25,1,1
466,2022-01,14842,F221,12.09,1,1
466,2022-01,14842,F222,367.76,4,4
468,2022-01,14842,F221,4.87,1,1
468,2022-01,2531252,F221,20.80,1,1
481,2022-01,14842,F212,195.30,1,1
481,2022-01,14842,F222,7.19,1,1
100,2022-02,14842,F221,5.19,1,1
101,2022-02,11440,F222,2078.25,3,3
101,2022-02,14842,F221,697.50,1,1
101,2022-02,1809,F224,9991.70,31,31
103,2022-02,14842,F221,12.59,2,2
104,2022-02,14842,F221,128.34,1,1
105,2022-02,11440,F222,6.98,1,1
105,2022-02,14842,F221,152.99,1,1
105,2022-02,18823,F224,597.84,4,4
106,2022-02,1309000,F224,373.73,5,5
106,2022-02,14842,F221,215.53,1,1
108,2022-02,11440,F222,961.52,2,2
108,2022-02,14842,F221,120.90,1,1
109,2022-02,14842,F221,10.70,1,1
109,2022-02,14842,F222,110.00,1,1
112,2022-02,11440,F222,61.44,1,1
112,2022-02,14842,F221,34.88,1,1
114,2022-02,11440,F222,204.29,1,1
117,2022-02,11440,F222,6.98,1,1
118,2022-02,11440,F222,16.28,1,1
118,2022-02,14842,F221,50.67,2,2
118,2022-02,14842,F222,72.84,1,1
118,2022-02,212094,F224,2505.59,124,124
121,2022-02,14842,F212,37.20,1,1
121,2022-02,14842,F221,14.11,1,1
122,2022-02,11440,F222,66.68,12,12
122,2022-02,14842,F221,34.88,1,1
122,2022-02,14842,F222,118.06,2,2
123,2022-02,14842,F221,4.65,1,1
124,2022-02,11440,F222,4551.68,3,3
124,2022-02,14842,F221,774.23,2,2
126,2022-02,14842,F221,41.39,1,1
128,2022-02,14842,F221,73.01,1,1
128,2022-02,1809,F224,7164.02,46,46
129,2022-02,14842,F221,141.91,2,2
130,2022-02,11440,F221,565.60,6,6
130,2022-02,14842,F221,56.58,1,1
131,2022-02,14842,F221,25.19,1,1
131,2022-02,14842,F222,104.30,2,2
132,2022-02,14842,F221,22.32,1,1
133,2022-02,11440,F222,15.81,1,1
133,2022-02,14842,F221,20.93,1,1
133,2022-02,14842,F222,88.00,1,1
134,2022-02,14842,F221,168.90,2,2
135,2022-02,11440,F222,551.85,5,5
135,2022-02,14842,F221,33503.90,114,114
135,2022-02,14842,F222,10797.61,34,34
139,2022-02,11440,F222,24.80,1,1
141,2022-02,14842,F221,8233.25,81,81
141,2022-02,14842,F222,3760.21,25,25
142,2022-02,14842,F221,27.90,1,1
144,2022-02,14842,F221,24.82,1,1
145,2022-02,14842,F221,400.40,11,11
145,2022-02,14842,F222,197.36,8,8
148,2022-02,14842,F221,69.75,1,1
150,2022-02,11440,F222,126.56,16,16
151,2022-02,18823,F224,131.46,3,3
156,2022-02,14842,F221,41.70,1,1
157,2022-02,14842,F221,40.69,1,1
157,2022-02,662519,F224,709.60,5,5
159,2022-02,14842,F221,169.15,2,2
160,2022-02,11440,F222,2030.45,28,28
160,2022-02,14842,F221,1419.65,8,8
160,2022-02,14842,F222,181.50,1,1
161,2022-02,11440,F222,14.95,1,1
161,2022-02,14842,F221,28.56,1,1
161,2022-02,14842,F222,34.74,1,1
163,2022-02,14842,F212,72.49,1,1
167,2022-02,14842,F221,20.15,1,1
170,2022-02,14842,F221,587.92,7,7
171,2022-02,14842,F221,46.50,1,1
173,2022-02,11440,F222,216.67,1,1
175,2022-02,14842,F221,6.05,1,1
175,2022-02,2531252,F221,520.05,24,24
188,2022-02,11440,F222,432.20,4,4
188,2022-02,14842,F221,51.15,1,1
196,2022-02,14842,F221,793.43,13,13
196,2022-02,14842,F222,380.15,6,6
198,2022-02,14842,F222,7.70,1,1
200,2022-02,11440,F221,15.60,1,1
202,2022-02,11440,F222,16.28,1,1
202,2022-02,14842,F221,558.00,1,1
202,2022-02,14842,F222,7068.01,4,4
202,2022-02,1809,F224,5114.00,34,34
209,2022-02,14842,F212,148.81,1,1
209,2022-02,14842,F222,220.00,1,1
211,2022-02,11440,F222,18.60,1,1
212,2022-02,11440,F222,5.23,1,1
213,2022-02,11440,F222,816.40,1,1
213,2022-02,14842,F221,7.22,1,1
216,2022-02,14842,F221,6.31,1,1
217,2022-02,14842,F221,11.63,1,1
218,2022-02,1776144,F224,54.60,2,2
218,2022-02,1809,F224,17187.34,98,98
222,2022-02,14842,F212,3.65,1,1
223,2022-02,14842,F221,305.42,6,6
223,2022-02,14842,F222,1269.00,7,7
223,2022-02,1776144,F224,158.60,4,4
225,2022-02,14842,F221,329.24,5,5
225,2022-02,14842,F222,258.56,4,4
226,2022-02,14842,F221,325.52,4,4
