MarketCode,year_month,AdvParentCode,PCCSubCode,spend_total,units_total,n_spots
100,2016-12,11440,F221,0.00,12,12
100,2016-12,14842,F221,0.00,3,3
100,2016-12,2531252,F221,0.00,2,2
101,2016-12,11440,F221,3246.00,37,37
101,2016-12,14842,F212,0.00,7,7
101,2016-12,14842,F221,0.00,6,6
101,2016-12,14842,F222,0.00,40,40
101,2016-12,2531252,F221,0.00,4,4
102,2016-12,11440,F221,0.00,10,10
102,2016-12,14842,F221,0.00,4,4
102,2016-12,1809,F224,36.00,3,3
102,2016-12,2531252,F221,0.00,3,3
103,2016-12,11440,F221,0.00,6,6
103,2016-12,14842,F221,0.00,9,9
103,2016-12,2531252,F221,0.00,4,4
104,2016-12,11440,F221,394.00,42,42
104,2016-12,14842,F221,0.00,6,6
104,2016-12,2531252,F221,0.00,4,4
105,2016-12,11440,F221,889.00,12,12
105,2016-12,14842,F221,2637.00,28,28
105,2016-12,2531252,F221,0.00,4,4
106,2016-12,11440,F221,0.00,25,25
106,2016-12,14842,F221,2519.00,33,33
106,2016-12,2531252,F221,0.00,4,4
107,2016-12,11440,F221,0.00,10,10
107,2016-12,11440,F222,0.00,1,1
107,2016-12,14842,F221,0.00,5,5
107,2016-12,2531252,F221,0.00,4,4
108,2016-12,11440,F221,0.00,18,18
108,2016-12,14842,F221,0.00,5,5
108,2016-12,2531252,F221,0.00,4,4
109,2016-12,11440,F221,0.00,12,12
109,2016-12,14842,F221,0.00,4,4
109,2016-12,2531252,F221,0.00,4,4
110,2016-12,11440,F221,0.00,14,14
110,2016-12,11440,F222,3327.00,5,5
110,2016-12,14842,F221,0.00,23,23
110,2016-12,2531252,F221,0.00,4,4
111,2016-12,11440,F221,0.00,9,9
111,2016-12,14842,F221,0.00,6,6
111,2016-12,2531252,F221,0.00,4,4
112,2016-12,11440,F221,0.00,11,11
112,2016-12,14842,F221,0.00,6,6
112,2016-12,2531252,F221,0.00,4,4
113,2016-12,11440,F221,0.00,12,12
113,2016-12,14842,F221,0.00,4,4
113,2016-12,2531252,F221,0.00,4,4
114,2016-12,11440,F221,0.00,15,15
114,2016-12,14842,F212,0.00,13,13
114,2016-12,14842,F221,0.00,5,5
114,2016-12,2531252,F221,0.00,4,4
115,2016-12,11440,F221,0.00,21,21
115,2016-12,14842,F221,0.00,18,18
115,2016-12,2531252,F221,0.00,4,4
116,2016-12,11440,F221,0.00,17,17
116,2016-12,14842,F221,0.00,5,5
116,2016-12,2531252,F221,0.00,4,4
117,2016-12,11440,F221,0.00,8,8
117,2016-12,14842,F221,54.00,9,9
117,2016-12,2531252,F221,0.00,3,3
118,2016-12,11440,F221,0.00,1,1
118,2016-12,2531252,F221,0.00,1,1
119,2016-12,11440,F221,0.00,8,8
119,2016-12,14842,F221,41.00,8,8
119,2016-12,2531252,F221,0.00,4,4
120,2016-12,11440,F221,0.00,18,18
120,2016-12,14842,F221,0.00,5,5
120,2016-12,2531252,F221,0.00,4,4
