event_time,coef
-9,-0.7132614609161357
-8,-1.6048734440380892
-7,-2.6839598229159902
-6,-2.6258611644926915
-5,-1.6973023419079916
-4,-0.9760487151038647
-3,-3.218816542587994
-2,0.526597484344693
-1,0.0
0,-0.23935939013180718
1,-0.3561532133776365
2,-0.33351005452723115
3,-0.7706223647219983
4,-1.4867292271636054
5,-2.4273717757752036
6,-1.35262056536924
7,-1.372050997818731
8,-4.441722103393715
9,-0.7874152864404592
10,-0.031035530040202874
