event_time,coef,p05,p50,p95,fisher_p
-9,-0.7132614609161357,-4.579940416982589,0.11459675660938357,7.908130392929367,0.6794258373205742
-8,-1.6048734440380892,-9.326918368371926,-0.14547012879024032,8.701639268141834,0.5023923444976076
-7,-2.6839598229159902,-9.746795276604393,-0.29033653448846986,7.288533038613403,0.37799043062200954
-6,-2.6258611644926915,-7.429571508206261,0.06360072107666591,7.6671607942371,0.28708133971291866
-5,-1.6973023419079916,-6.678726086192285,0.7673061757982673,9.008315426801687,0.41148325358851673
-4,-0.9760487151038647,-3.939108932001362,0.5605246184673659,9.068037062315716,0.6555023923444976
-3,-3.218816542587994,-3.2316243390078094,0.616672706282333,8.3244964446812,0.215311004784689
-2,0.526597484344693,-1.4275747259156806,1.216786925082593,9.56669590650667,0.7894736842105263
-1,0.0,0.0,0.0,0.0,
0,-0.23935939013180718,-1.1888133550059927,1.0277103262841178,9.506167525878082,0.8803827751196173
1,-0.3561532133776365,-1.628710005863558,0.9228799208108731,9.664536467806384,0.8421052631578947
2,-0.33351005452723115,-1.575441553856382,0.9633235943109318,9.821346995021216,0.8708133971291866
3,-0.7706223647219983,-1.3283680938657896,1.1142554821521855,9.9606037177287,0.6794258373205742
4,-1.4867292271636054,-1.2692322577086639,0.9753872956166899,10.0182189121043,0.4688995215311005
5,-2.4273717757752036,-2.3351431618150014,0.8596683827553295,8.879073903514758,0.291866028708134
6,-1.35262056536924,-1.8886530613982533,0.9486940738778268,9.33269770803914,0.5311004784688995
7,-1.372050997818731,-1.4812730137622963,1.350363339950925,9.502990411455228,0.5550239234449761
8,-4.441722103393715,-2.9458593030631013,0.33960060479040605,9.630417047463723,0.18660287081339713
9,-0.7874152864404592,-1.8708649146458076,0.8310916036178384,9.404086762983882,0.7177033492822966
10,-0.031035530040202874,-1.453922628583602,1.3631373925997656,9.815859038823145,0.9952153110047847
