event_time,coef,placebo_dma
-9,4.8816183260085255,100
-8,2.2047071243542815,100
-7,2.668474337247878,100
-6,-1.3381704544474715,100
-5,2.957868662967812,100
-4,2.3345789057835464,100
-3,3.255226349464171,100
-2,2.9684283148440347,100
-1,0.0,100
0,2.30176107059517,100
1,3.3845165230202228,100
2,2.137088623556157,100
3,4.239459841175641,100
4,2.8941847541723473,100
5,3.1741378391686643,100
6,2.284153927384963,100
7,2.55979615578239,100
8,0.9988652472723977,100
9,2.271536121237686,100
10,2.9602264323309435,100
-9,0.08922833299216701,101
-8,-0.6547887716243315,101
-7,-0.4730366701597993,101
-6,-0.946863420109526,101
-5,-1.1620842907462827,101
-4,-1.5872414351159485,101
-3,-0.8197372634283825,101
-2,-0.3280551108933614,101
-1,0.0,101
0,-0.027619939739242733,101
1,-0.9843471862217362,101
2,-0.5388738899604426,101
3,0.045728375488414456,101
4,-0.7682411598779687,101
5,0.0726671686417942,101
6,-1.2471137780662416,101
7,-0.5204244714048175,101
8,-1.202684349188076,101
9,0.36444443440741864,101
10,-1.2551599602496826,101
-9,0.493633406855233,102
-8,-1.8406387263182364,102
-7,-9.895163519385806,102
-6,2.3768701713923335,102
-5,0.1629741358859336,102
-4,-1.1961095700433821,102
-3,1.2986746345258244,102
-2,-0.19329281158824477,102
-1,0.0,102
0,0.22766608995074683,102
1,1.8796172845294499,102
2,-0.14976988573292344,102
3,0.7429495293638824,102
4,-0.45135473782779895,102
5,1.0705599223159763,102
6,0.720960349310855,102
7,-0.7621164214712137,102
8,0.6711305001598,102
9,0.2358937115360489,102
10,-0.530693119658572,102
-9,7.1084073754356885,103
-8,-5.139183164126214,103
-7,-0.41349199718160345,103
-6,2.1066958321223113,103
-5,-0.4383172125178197,103
-4,2.8326260006616715,103
-3,2.6433419110853835,103
-2,5.064060367351755,103
-1,0.0,103
0,4.942306441246889,103
1,3.6925141531368744,103
2,4.256656224759346,103
3,-4.564613184147607,103
4,4.373977410769793,103
5,3.645340896997447,103
6,4.480978008298941,103
7,2.326586119289217,103
8,4.695340916962337,103
9,2.8720426360035276,103
10,4.597446082759939,103
-9,0.5530184339787237,104
-8,1.939001311931678,104
-7,2.737279445542776,104
-6,2.2295281764153945,104
-5,1.3596685790203062,104
-4,1.1373241644738405,104
-3,1.3142917485728878,104
-2,1.8274404882200572,104
-1,0.0,104
0,1.6219911676137992,104
1,2.200917634953187,104
2,2.194235931582067,104
3,2.100453824475581,104
4,2.047568060048988,104
5,2.2642529977669,104
6,1.7172369162921948,104
7,1.646620432643381,104
8,1.7790970993722368,104
9,2.4987817289105556,104
10,1.5368084996689368,104
-9,-0.14676553273137768,105
-8,1.1645595581090293,105
-7,2.2072955716482032,105
-6,-0.9935273637610262,105
-5,0.5427425374718902,105
-4,1.3223721243373405,105
-3,0.3934573856078231,105
-2,0.3058909965904156,105
-1,0.0,105
0,1.5076662189216676,105
1,1.9407328582340972,105
2,0.7759062810069258,105
3,0.04441603072020239,105
4,1.483578874759391,105
5,1.2358415417691122,105
6,-0.4937920949572528,105
7,-0.4850994720604393,105
8,1.3784167433993282,105
9,0.9191975704858327,105
10,-0.7138636112486281,105
-9,-0.4273521330923286,106
-8,-0.44479084204757424,106
-7,0.4219128280382101,106
-6,1.048061709019377,106
-5,0.8812720449744996,106
-4,-1.144402517899776,106
-3,0.32793844752313883,106
-2,0.4374672458456027,106
-1,0.0,106
0,0.03004555365022797,106
1,0.45914405541072145,106
2,0.5277069440217902,106
3,0.709017425489609,106
4,-0.17033208482765558,106
5,1.455217969333252,106
6,1.3807376646431158,106
7,0.7508855494325061,106
8,-0.6118571333694209,106
9,1.0272550940255682,106
10,0.5562454346078283,106
-9,0.6664402158995997,107
-8,-0.8071011341780768,107
-7,-0.04403519688002064,107
-6,0.22346016367291913,107
-5,1.1830580108385869,107
-4,-0.5301701036731106,107
-3,-0.9359928066271248,107
-2,0.5563887762296471,107
-1,0.0,107
0,-0.32329341160992037,107
1,0.5124542433154284,107
2,-0.17100065503543985,107
3,0.14135947975799024,107
4,-0.5365367526748893,107
5,0.20608937503733524,107
6,0.17326573008852386,107
7,1.130821765875934,107
8,-0.84040681734463,107
9,-1.130230078643079,107
10,0.8077786838369203,107
-9,-1.7143081195642065,108
-8,-1.7557577944801004,108
-7,0.43769224199676954,108
-6,-3.481938709354628,108
-5,-1.5398268067598975,108
-4,-2.4105504262944164,108
-3,0.16127764071706296,108
-2,-0.8357377408965568,108
-1,0.0,108
0,-1.4360736302292112,108
1,0.5610774019262003,108
2,-0.21618496720079472,108
3,-0.2595844158279547,108
4,-1.2492066204355285,108
5,0.8801198284576415,108
6,-1.9656407012002475,108
7,-0.8213516615513186,108
8,-1.226037715281403,108
9,0.6494068178982315,108
10,-1.0749388022923108,108
-9,4.096690063096037,109
-8,-6.237801332096498,109
-7,-6.646048271695906,109
-6,1.2532068352656627,109
-5,5.416818016670336,109
-4,4.395376739217988,109
-3,1.071346941516027,109
-2,4.61069216998955,109
-1,0.0,109
0,3.5710656877059095,109
1,3.5375959009018487,109
2,4.71494042554226,109
3,4.392006190316875,109
4,3.1278655656515673,109
5,2.3325839741707792,109
6,4.3950990101246274,109
7,4.299669105908284,109
8,2.7650663816517973,109
9,2.254710157877607,109
10,3.438124779933848,109
-9,0.2643176057723482,110
-8,0.13628798948880688,110
-7,-1.8149891082316454,110
-6,-2.4787220360895335,110
-5,-0.13400777044878326,110
-4,-2.1167886853233364,110
-3,-1.4449982759578999,110
-2,1.216786925082593,110
-1,0.0,110
0,-0.2806817118486596,110
1,-1.0147946853049157,110
2,0.39852255581489565,110
3,1.3581553719105592,110
4,0.012255494752587168,110
5,-1.7884254873571168,110
