BrandCode,BrandDesc,BrandVariant,AdvParentCode,AdvSubsidCode,PCCSubCode,ProductID,AdvParentDesc,kw_label,PCCSubDesc
1036924,HORIZON REALTY REALTORS,HORIZON REALTY REALTORS,791042,791042,B230,1222,HORIZON REALTY OF ALACHUA INC-MF,horizon,"REAL ESTATE, R.E. BROKERS & DEVELOPERS"
2009994,WIDER HORIZONS SCHOOL SCHOOL,WIDER HORIZONS SCHOOL SCHOOL,1264203,1264203,B133,1319,WIDER HORIZONS SCHOOL INC,horizon,"SCHOOLS & CAMPS, SEMINARS"
2154362,HORIZON DENTAL CARE DENTAL SVCS,HORIZON DENTAL CARE DENTAL SVCS,1330446,1330446,D249,446,HORIZON DENTAL CARE INC,horizon,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
2154584,NEW HORIZONS CHURCH RELIGIOUS CTR,NEW HORIZONS CHURCH RELIGIOUS CTR,1332356,1332356,B189,2796,NEW HORIZONS CHURCH,horizon,MISCELLANEOUS ORGANIZATION ADVERTISING
830256,CENTERS FOR NEW HORIZONS PROFESSIONAL ORGN,CENTERS FOR NEW HORIZONS PROFESSIONAL ORGN,691497,691497,B189,1184,CENTERS FOR NEW HORIZONS INC,horizon,MISCELLANEOUS ORGANIZATION ADVERTISING
462948,HORIZON RESORTS RESORT,HORIZON RESORTS RESORT,454718,454718,T431,1251,HORIZON RESORTS INC,horizon,HOTELS & RESORTS
1059912,STEPHEN AMBROSE HISTORICAL TOURS TRAVEL SVCS,STEPHEN AMBROSE HISTORICAL TOURS TRAVEL SVCS,2276356,2276356,T420,1767,HORIZON TOURS INC-NO,horizon,TRAVEL SERVICES & TOURS
2023568,SUMMIT COMMUNITY BANK BANK SVCS,SUMMIT COMMUNITY BANK BANK SVCS,702145,702144,B151,107,HORIZON BANCORP,horizon,BANKS
1420802,HORIZONS HOME SHOW EXHIBITION,HORIZONS HOME SHOW EXHIBITION,984247,984247,G329,548,HORIZONS HOME SHOW,horizon,MISC ENTERTAINMENT & COMBINATION COPY
849695,ALPINE HAUS STORE-SPORTING GOODS,ALPINE HAUS STORE-SPORTING GOODS,702084,702084,G717,1620,HORIZON SPORTS SPECIALISTS INC-AS,horizon,"CRAFT, HOBBY & SPORTING GOODS & TOY STORES"
849767,HORIZON BANK BANK SVCS,HORIZON BANK BANK SVCS,702145,702144,B151,107,HORIZON BANCORP,horizon,BANKS
1431438,MOTOR CAR MALL SHOP-AUTO CARE-REPAIR,MOTOR CAR MALL SHOP-AUTO CARE-REPAIR,989545,989545,G713,2750,NEW DAWN HORIZONS INC-AL,horizon,AUTOMOTIVE
2040151,NEW HORIZON ANIMAL HOSPITAL VETERINARIANS,NEW HORIZON ANIMAL HOSPITAL VETERINARIANS,1278036,1278036,B119,1809,NEW HORIZON ANIMAL HOSPITAL LLC,horizon,MISCELLANEOUS PROFESSIONAL SERVICES
2041894,NEW HORIZONS CAREER DEVELOPMENT CTR INSTRUCTIONAL SVCS,NEW HORIZONS CAREER DEVELOPMENT CTR INSTRUCTIONAL SVCS,1278641,1278641,B133,850,NEW HORIZONS CAREER DEVELOPMENT CTR,horizon,"SCHOOLS & CAMPS, SEMINARS"
2418367,MANSE ON MARSH REAL ESTATE-RESIDENTIAL,MANSE ON MARSH REAL ESTATE-RESIDENTIAL,1439224,1439224,B230,2068,HORIZON SENIOR HOUSING LLC,horizon,"REAL ESTATE, R.E. BROKERS & DEVELOPERS"
1089902,HORIZON FORD AUTO DLRSHP,HORIZON FORD AUTO DLRSHP,817399,1012988,T161,70,HORIZON FORD INC-ST,horizon,AUTOS & LIGHT TRUCK - DEALERSHIPS
485920,HORIZON VISION CTRS OPTICAL CTR,HORIZON VISION CTRS OPTICAL CTR,2213437,2213437,G71E,1056,HORIZON VISION CTRS INC,horizon,OPTICAL GOODS AND SERVICES
1750144,NEW HORIZONS RESEARCH STUDY,NEW HORIZONS RESEARCH STUDY,665469,665469,B119,2106,NEW HORIZONS CLINICAL RESEARCH CTR,horizon,MISCELLANEOUS PROFESSIONAL SERVICES
210722,NEBRASKA CROSSING FACTORY STORES SHOPPING CTR,NEBRASKA CROSSING FACTORY STORES SHOPPING CTR,420434,420434,G719,1366,HORIZON GROUP PROPERTIES INC-PX,horizon,MISCELLANEOUS RETAIL
1751410,NEW HORIZONS CREDIT UNION CREDIT UNION,NEW HORIZONS CREDIT UNION CREDIT UNION,1146930,1146930,B159,414,NEW HORIZONS CREDIT UNION-MP,horizon,MISC FINANCIAL INST. SERVICES & PRODUCTS
491565,HORIZON PROPERTIES REALTORS,HORIZON PROPERTIES REALTORS,482916,482916,B230,1222,HORIZON PROPERTIES INC-DY,horizon,"REAL ESTATE, R.E. BROKERS & DEVELOPERS"
887818,HORIZONS TELECOMM SVCS & SYS,HORIZONS TELECOMM SVCS & SYS,718178,718178,B144,1693,HORIZONS TELECOMMUNICATIONS,horizon,TELECOMMUNICATION SYSTEMS & SERVICES
216081,HORIZON PUBLISHERS PUBLISHERS,HORIZON PUBLISHERS PUBLISHERS,200946,200946,B420,1193,HORIZON PUBLISHERS & DISTRIBTRS INC,horizon,"MAGAZINES, NEWSPAPERS, MISC MEDIA"
2059282,NEW HORIZON ACADEMY ACADEMY,NEW HORIZON ACADEMY ACADEMY,2517734,2517734,B133,11,NEW HORIZON ENTERPRISES INC-MS-DM,horizon,"SCHOOLS & CAMPS, SEMINARS"
731441,HEALTHY HORIZONS STORE-HEALTH FOOD,HEALTHY HORIZONS STORE-HEALTH FOOD,642685,642685,G716,1544,HEALTHY HORIZONS INC,horizon,FOOD & LIQUOR STORES
1604189,HORIZONS FOR HOMELESS CHILDREN CHARITABLE ORGN,HORIZONS FOR HOMELESS CHILDREN CHARITABLE ORGN,1072670,1072670,B189,267,HORIZONS FOR HOMELESS CHILDREN INC,horizon,MISCELLANEOUS ORGANIZATION ADVERTISING
2202813,SECOND HORIZON GROUP LP SHOPPING CTR,SECOND HORIZON GROUP LP SHOPPING CTR,1350318,1350318,G719,1366,SECOND HORIZON GROUP LP,horizon,MISCELLANEOUS RETAIL
1141829,FUTURE HORIZONS PUBLISHERS,FUTURE HORIZONS PUBLISHERS,789391,789391,B420,1193,FUTURE HORIZONS INC,horizon,"MAGAZINES, NEWSPAPERS, MISC MEDIA"
229236,BACKYARD STORE STORE-POOLS-PATIOS-SPAS,BACKYARD STORE STORE-POOLS-PATIOS-SPAS,942925,942925,G719,2069,HORIZON BUILDING SYSTEMS INC-SA,horizon,MISCELLANEOUS RETAIL
1777379,BAHAMA BEACH WATERPARK ENTERTAINMENT PARK,BAHAMA BEACH WATERPARK ENTERTAINMENT PARK,972411,972411,G322,538,HORIZON AMUSEMENT GROUP INC,horizon,AMUSEMENT PARKS & SPORTING EVENTS
94968,NEW HORIZON CHRISTIAN CTR RELIGIOUS CTR,NEW HORIZON CHRISTIAN CTR RELIGIOUS CTR,85757,85757,B189,2796,NEW HORIZON CHRISTIAN CTR,horizon,MISCELLANEOUS ORGANIZATION ADVERTISING
741107,HORIZON HUNTING BOWS,HORIZON HUNTING BOWS,647329,647329,G419,814,HORIZON BOW CO INC,horizon,MISCELLANEOUS SPORTING EQUIPMENT
1779601,NEW HORIZONS COUNTRY DAY SCHOOL SCHOOL,NEW HORIZONS COUNTRY DAY SCHOOL SCHOOL,1161235,1161235,B133,1319,NEW HORIZONS COUNTRY DAY SCHOOL INC,horizon,"SCHOOLS & CAMPS, SEMINARS"
1781626,AMERICAS LENDER MORTGAGE CO,AMERICAS LENDER MORTGAGE CO,1161808,1161808,B159,3092,GOLDEN HORIZON MORTGAGE INC,horizon,MISC FINANCIAL INST. SERVICES & PRODUCTS
1615745,HORIZON REALTY GROUP REALTORS,HORIZON REALTY GROUP REALTORS,1077604,1077604,B230,1222,HORIZON REALTY GROUP-NY,horizon,"REAL ESTATE, R.E. BROKERS & DEVELOPERS"
748439,HORIZON AUDIO STORE-ELECTRONICS,HORIZON AUDIO STORE-ELECTRONICS,650750,650750,G715,1514,HORIZON AUDIO INC,horizon,ELECTRONICS STORES (INCL RENTAL)
