arm,period,monthly_spend_mean,monthly_spots_mean,n_months
other,post,686.2,13.6,5
other,pre,827.0666666666667,20.333333333333332,15
placebo,post,159.22222222222223,60.44444444444444,9
placebo,pre,2014.1666666666667,38.875,24
treated,post,67855.41666666667,445.0,12
treated,pre,36600.78378378379,336.5945945945946,37
