MarketCode,year_month,AdvParentCode,PCCSubCode,spend_total,units_total,n_spots
100,2023-01,1809,F224,1033.29,14,14
101,2023-01,11440,F222,303.05,6,6
101,2023-01,14842,F222,3280.06,12,12
102,2023-01,14842,F222,14.94,2,2
104,2023-01,14842,F222,4623.98,20,20
105,2023-01,14842,F221,9576.85,8,8
105,2023-01,18823,F224,312.00,10,10
106,2023-01,11440,F222,45.11,1,1
106,2023-01,11440,F224,6482.71,11,11
106,2023-01,14842,F221,9683.30,23,23
106,2023-01,14842,F222,1759.25,2,2
108,2023-01,11440,F222,40.53,3,3
108,2023-01,14842,F221,1263.01,2,2
108,2023-01,14842,F222,1798.17,12,12
108,2023-01,1665136,F221,30035.58,149,149
109,2023-01,11440,F222,2046.00,2,2
110,2023-01,11440,F222,13.25,1,1
110,2023-01,2531252,F221,59.08,1,1
111,2023-01,14842,F221,3555.15,7,7
111,2023-01,14842,F222,54854.94,77,77
114,2023-01,11440,F222,5.12,1,1
115,2023-01,14842,F221,408.81,2,2
117,2023-01,14842,F221,484.23,2,2
118,2023-01,11440,F222,10.42,1,1
119,2023-01,11440,F222,29.56,1,1
120,2023-01,11440,F222,11.52,1,1
122,2023-01,11440,F222,65.10,14,14
123,2023-01,14842,F222,29.76,2,2
124,2023-01,11440,F222,488.26,2,2
124,2023-01,14842,F221,6107.41,8,8
127,2023-01,11440,F222,6.99,3,3
128,2023-01,11440,F222,159.58,6,6
129,2023-01,11440,F222,1287.20,16,16
129,2023-01,14842,F221,370.61,3,3
131,2023-01,11440,F222,63.24,4,4
131,2023-01,668525,F221,7.01,1,1
133,2023-01,14842,F222,37.20,4,4
134,2023-01,14842,F221,154.85,2,2
135,2023-01,11440,F222,3331.20,8,8
135,2023-01,14842,F221,4939.24,20,20
135,2023-01,14842,F222,2447.43,30,30
136,2023-01,14842,F221,764.45,9,9
139,2023-01,11440,F222,240.02,2,2
139,2023-01,14842,F221,2137.47,4,4
141,2023-01,11440,F222,446.40,16,16
142,2023-01,11440,F222,1742.98,2,2
143,2023-01,14842,F221,120.12,2,2
145,2023-01,11440,F222,61.38,2,2
145,2023-01,14842,F221,313.08,6,6
