MarketCode,year_month,AdvParentCode,PCCSubCode,spend_total,units_total,n_spots
100,2020-12,1809,F224,12.00,14,14
100,2020-12,2531252,F221,0.00,1,1
101,2020-12,14842,F221,951.00,15,15
101,2020-12,1809,F224,764.00,77,77
101,2020-12,2531252,F221,0.00,1,1
102,2020-12,1809,F224,0.00,16,16
102,2020-12,2531252,F221,0.00,1,1
103,2020-12,1809,F224,0.00,18,18
103,2020-12,2531252,F221,0.00,1,1
104,2020-12,1809,F224,0.00,18,18
104,2020-12,2531252,F221,0.00,1,1
105,2020-12,1809,F224,47.00,23,23
105,2020-12,2531252,F221,0.00,1,1
106,2020-12,14842,F221,459.00,4,4
106,2020-12,14842,F222,240.00,1,1
106,2020-12,1809,F224,67.00,42,42
106,2020-12,2531252,F221,0.00,1,1
107,2020-12,1809,F224,0.00,21,21
107,2020-12,2531252,F221,0.00,1,1
108,2020-12,1809,F224,64.00,18,18
108,2020-12,2531252,F221,0.00,1,1
109,2020-12,1809,F224,0.00,16,16
109,2020-12,2531252,F221,0.00,1,1
110,2020-12,1809,F224,127.00,25,25
110,2020-12,2531252,F221,0.00,1,1
111,2020-12,1809,F224,0.00,27,27
111,2020-12,2531252,F221,0.00,1,1
112,2020-12,1809,F224,434.00,24,24
112,2020-12,2531252,F221,0.00,1,1
113,2020-12,1809,F224,0.00,22,22
113,2020-12,2531252,F221,0.00,1,1
114,2020-12,14842,F221,34.00,1,1
114,2020-12,1809,F224,0.00,25,25
114,2020-12,2531252,F221,0.00,1,1
115,2020-12,1809,F224,17.00,19,19
115,2020-12,2531252,F221,0.00,1,1
116,2020-12,1809,F224,0.00,21,21
116,2020-12,2531252,F221,0.00,1,1
117,2020-12,1809,F224,89.00,25,25
117,2020-12,2531252,F221,0.00,1,1
118,2020-12,1809,F224,0.00,21,21
118,2020-12,2531252,F221,0.00,1,1
119,2020-12,1809,F224,0.00,19,19
119,2020-12,2531252,F221,0.00,1,1
120,2020-12,1809,F224,0.00,19,19
120,2020-12,2531252,F221,0.00,1,1
121,2020-12,14842,F224,0.00,1,1
121,2020-12,1809,F224,275.00,22,22
121,2020-12,2531252,F221,0.00,1,1
122,2020-12,1809,F224,0.00,15,15
122,2020-12,2531252,F221,0.00,1,1
123,2020-12,1809,F224,0.00,18,18
123,2020-12,2531252,F221,0.00,1,1
124,2020-12,1809,F224,0.00,19,19
124,2020-12,2531252,F221,0.00,1,1
125,2020-12,1809,F224,0.00,7,7
126,2020-12,1809,F224,0.00,11,11
127,2020-12,1809,F224,0.00,19,19
127,2020-12,2531252,F221,0.00,1,1
127,2020-12,9143,F224,9.00,1,1
128,2020-12,14842,F221,0.00,12,12
128,2020-12,1809,F224,0.00,68,68
128,2020-12,2531252,F221,0.00,1,1
129,2020-12,1809,F224,143.00,25,25
129,2020-12,2531252,F221,0.00,1,1
130,2020-12,1809,F224,0.00,20,20
130,2020-12,2531252,F221,0.00,1,1
131,2020-12,1809,F224,0.00,19,19
131,2020-12,2531252,F221,0.00,1,1
132,2020-12,1809,F224,52.00,21,21
132,2020-12,2531252,F221,0.00,1,1
133,2020-12,1809,F224,263.00,26,26
133,2020-12,2531252,F221,0.00,1,1
134,2020-12,1809,F224,0.00,21,21
134,2020-12,2531252,F221,0.00,1,1
135,2020-12,1809,F224,0.00,20,20
135,2020-12,2531252,F221,0.00,1,1
136,2020-12,1809,F224,120.00,16,16
136,2020-12,2531252,F221,0.00,1,1
137,2020-12,1809,F224,0.00,15,15
137,2020-12,2531252,F221,0.00,1,1
138,2020-12,1809,F224,0.00,17,17
138,2020-12,2531252,F221,0.00,1,1
139,2020-12,1809,F224,216.00,26,26
139,2020-12,2531252,F221,0.00,1,1
140,2020-12,1809,F224,0.00,7,7
141,2020-12,14842,F221,1104.00,6,6
141,2020-12,14842,F224,416.00,4,4
141,2020-12,1809,F224,35.00,16,16
142,2020-12,1809,F224,11.00,20,20
142,2020-12,2531252,F221,0.00,1,1
143,2020-12,1809,F224,0.00,16,16
143,2020-12,2531252,F221,0.00,1,1
144,2020-12,1809,F224,0.00,20,20
144,2020-12,2531252,F221,0.00,1,1
145,2020-12,14842,F221,10.00,2,2
145,2020-12,1809,F224,0.00,18,18
145,2020-12,2531252,F221,0.00,1,1
146,2020-12,1809,F224,0.00,30,30
146,2020-12,2531252,F221,0.00,1,1
147,2020-12,1809,F224,0.00,18,18
147,2020-12,2531252,F221,0.00,1,1
148,2020-12,1809,F224,0.00,18,18
148,2020-12,2531252,F221,0.00,1,1
149,2020-12,1809,F224,0.00,13,13
149,2020-12,2531252,F221,0.00,1,1
150,2020-12,1809,F224,0.00,22,22
150,2020-12,2531252,F221,0.00,1,1
151,2020-12,1809,F224,31.00,23,23
151,2020-12,2531252,F221,0.00,1,1
152,2020-12,1809,F224,0.00,8,8
152,2020-12,2531252,F221,0.00,1,1
153,2020-12,1809,F224,0.00,11,11
153,2020-12,2531252,F221,0.00,1,1
154,2020-12,1809,F224,0.00,9,9
154,2020-12,2531252,F221,0.00,1,1
155,2020-12,1809,F224,16.00,15,15
155,2020-12,2531252,F221,0.00,1,1
156,2020-12,1809,F224,167.00,22,22
156,2020-12,2531252,F221,0.00,1,1
157,2020-12,1809,F224,14.00,20,20
157,2020-12,2531252,F221,0.00,1,1
158,2020-12,1809,F224,0.00,1,1
159,2020-12,11440,F222,32.00,1,1
159,2020-12,1809,F224,0.00,16,16
159,2020-12,2531252,F221,0.00,1,1
160,2020-12,14842,F221,0.00,11,11
160,2020-12,1809,F224,73.00,29,29
160,2020-12,2531252,F221,0.00,1,1
161,2020-12,1809,F224,219.00,27,27
161,2020-12,2531252,F221,0.00,1,1
163,2020-12,1809,F224,0.00,20,20
164,2020-12,11440,F222,56.00,1,1
164,2020-12,1809,F224,0.00,17,17
164,2020-12,2531252,F221,0.00,1,1
165,2020-12,1809,F224,0.00,10,10
166,2020-12,1809,F224,0.00,21,21
166,2020-12,2531252,F221,0.00,1,1
167,2020-12,1809,F224,0.00,21,21
167,2020-12,2531252,F221,0.00,1,1
169,2020-12,14842,F222,7361.00,33,33
169,2020-12,1809,F224,0.00,3,3
170,2020-12,1809,F224,50.00,22,22
170,2020-12,2531252,F221,0.00,1,1
171,2020-12,1809,F224,0.00,20,20
171,2020-12,2531252,F221,0.00,1,1
173,2020-12,1809,F224,7.00,20,20
173,2020-12,2531252,F221,0.00,1,1
174,2020-12,1809,F224,0.00,14,14
174,2020-12,2531252,F221,0.00,1,1
175,2020-12,1809,F224,112.00,26,26
175,2020-12,2531252,F221,0.00,1,1
176,2020-12,1809,F224,0.00,16,16
176,2020-12,2531252,F221,0.00,1,1
177,2020-12,1809,F224,0.00,14,14
177,2020-12,2531252,F221,0.00,1,1
181,2020-12,1809,F224,0.00,15,15
181,2020-12,2531252,F221,0.00,1,1
182,2020-12,14842,F221,16.00,2,2
182,2020-12,1809,F224,0.00,6,6
182,2020-12,2531252,F221,0.00,1,1
183,2020-12,1809,F224,0.00,9,9
183,2020-12,2531252,F221,0.00,1,1
184,2020-12,1809,F224,0.00,1,1
188,2020-12,1809,F224,96.00,19,19
188,2020-12,2531252,F221,0.00,1,1
192,2020-12,1809,F224,0.00,9,9
196,2020-12,14842,F221,85.00,2,2
196,2020-12,14842,F222,115.00,5,5
196,2020-12,1809,F224,0.00,2,2
197,2020-12,1809,F224,0.00,1,1
198,2020-12,11440,F222,52.00,1,1
198,2020-12,1809,F224,0.00,14,14
198,2020-12,2531252,F221,0.00,1,1
200,2020-12,14842,F221,0.00,12,12
200,2020-12,1809,F224,0.00,19,19
200,2020-12,2531252,F221,0.00,1,1
202,2020-12,14842,F221,0.00,12,12
202,2020-12,1809,F224,8071.00,81,81
202,2020-12,2531252,F221,0.00,1,1
203,2020-12,1809,F224,0.00,13,13
203,2020-12,2531252,F221,0.00,1,1
204,2020-12,1809,F224,0.00,11,11
204,2020-12,2531252,F221,0.00,1,1
205,2020-12,1809,F224,0.00,14,14
205,2020-12,2531252,F221,0.00,1,1
206,2020-12,1809,F224,0.00,17,17
206,2020-12,2531252,F221,0.00,1,1
209,2020-12,1809,F224,213.00,29,29
209,2020-12,2531252,F221,0.00,1,1
210,2020-12,1809,F224,0.00,10,10
211,2020-12,1809,F224,0.00,20,20
211,2020-12,2531252,F221,0.00,1,1
212,2020-12,1809,F224,0.00,14,14
212,2020-12,2531252,F221,0.00,1,1
213,2020-12,14842,F221,26.00,1,1
213,2020-12,1809,F224,273.00,30,30
213,2020-12,2531252,F221,0.00,1,1
216,2020-12,1809,F224,216.00,22,22
217,2020-12,1309000,F224,0.00,4,4
217,2020-12,14842,F221,555.00,1,1
217,2020-12,1809,F224,13.00,22,22
217,2020-12,2531252,F221,0.00,1,1
218,2020-12,14842,F221,0.00,12,12
218,2020-12,1809,F224,271.00,71,71
218,2020-12,2531252,F221,0.00,1,1
219,2020-12,1809,F224,53.00,23,23
219,2020-12,2531252,F221,0.00,1,1
222,2020-12,1309000,F224,0.00,3,3
222,2020-12,1809,F224,9.00,21,21
222,2020-12,2531252,F221,0.00,1,1
223,2020-12,14842,F221,170.00,16,16
223,2020-12,1809,F224,151.00,64,64
223,2020-12,2531252,F221,0.00,1,1
224,2020-12,1809,F224,29.00,12,12
224,2020-12,2531252,F221,0.00,1,1
225,2020-12,14842,F221,33.00,1,1
225,2020-12,1809,F224,4.00,16,16
225,2020-12,2531252,F221,0.00,1,1
226,2020-12,1809,F224,0.00,4,4
227,2020-12,1809,F224,45.00,22,22
227,2020-12,2531252,F221,0.00,1,1
228,2020-12,1809,F224,0.00,20,20
228,2020-12,2531252,F221,0.00,1,1
230,2020-12,11440,F221,666.00,2,2
230,2020-12,14842,F221,1476.00,10,10
230,2020-12,14842,F222,1340.00,8,8
230,2020-12,1809,F224,0.00,21,21
230,2020-12,2531252,F221,0.00,1,1
231,2020-12,14842,F221,1177.00,22,22
231,2020-12,1809,F224,37.00,7,7
232,2020-12,1809,F224,39.00,16,16
232,2020-12,2531252,F221,568.00,5,5
233,2020-12,1809,F224,0.00,19,19
233,2020-12,2531252,F221,0.00,1,1
234,2020-12,1809,F224,4.00,20,20
234,2020-12,2531252,F221,0.00,1,1
235,2020-12,11440,F222,496.00,1,1
235,2020-12,14842,F221,0.00,12,12
235,2020-12,1809,F224,0.00,25,25
235,2020-12,2531252,F221,0.00,1,1
236,2020-12,14842,F221,0.00,12,12
236,2020-12,1809,F224,0.00,46,46
236,2020-12,2531252,F221,0.00,1,1
236,2020-12,598799,F221,8.00,1,1
237,2020-12,1809,F224,0.00,20,20
237,2020-12,2531252,F221,0.00,1,1
238,2020-12,1809,F224,0.00,3,3
239,2020-12,1809,F224,0.00,3,3
240,2020-12,1809,F224,0.00,20,20
240,2020-12,2531252,F221,0.00,1,1
241,2020-12,14842,F221,70.00,16,16
241,2020-12,1809,F224,0.00,44,44
241,2020-12,2531252,F221,0.00,1,1
242,2020-12,1809,F224,0.00,15,15
242,2020-12,2531252,F221,0.00,1,1
243,2020-12,1809,F224,0.00,4,4
244,2020-12,1809,F224,0.00,13,13
247,2020-12,1809,F224,0.00,8,8
248,2020-12,14842,F221,30.00,2,2
248,2020-12,1809,F224,0.00,21,21
248,2020-12,2531252,F221,0.00,1,1
249,2020-12,1809,F224,0.00,17,17
249,2020-12,2531252,F221,0.00,1,1
250,2020-12,1809,F224,67.00,18,18
251,2020-12,1809,F224,0.00,18,18
251,2020-12,2531252,F221,0.00,1,1
252,2020-12,1809,F224,0.00,22,22
252,2020-12,2531252,F221,0.00,1,1
256,2020-12,1809,F224,0.00,10,10
257,2020-12,1809,F224,0.00,9,9
257,2020-12,2531252,F221,0.00,1,1
258,2020-12,1809,F224,14.00,20,20
258,2020-12,2531252,F221,0.00,1,1
259,2020-12,11440,F221,665.00,1,1
259,2020-12,1809,F224,0.00,22,22
259,2020-12,2531252,F221,0.00,1,1
261,2020-12,1809,F224,0.00,12,12
261,2020-12,2531252,F221,0.00,1,1
262,2020-12,1809,F224,0.00,13,13
262,2020-12,2531252,F221,0.00,1,1
269,2020-12,1809,F224,0.00,18,18
269,2020-12,2531252,F221,0.00,1,1
270,2020-12,1809,F224,0.00,17,17
270,2020-12,2531252,F221,0.00,1,1
