event_time,coef,placebo_dma
-9,0.45658502355686975,100
-8,1.7400584312877978,100
-7,-0.3831183005985674,100
-6,-1.7545630953492806,100
-5,1.3543198171174833,100
-4,2.014446904107476,100
-3,1.2384689799285575,100
-2,0.11346791241043089,100
-1,0.0,100
0,1.6154688203096428,100
1,0.6660388907231726,100
2,-1.2351936028211663,100
3,-0.9229687802415405,100
4,0.9909872050508467,100
5,2.0588001971609806,100
6,0.3859684979749564,100
7,-0.36771966091322955,100
8,-0.37430749804547236,100
9,0.36834068593851693,100
10,0.029943527192229216,100
-9,-1.2481975377451524,101
-8,-1.3589262438783942,101
-7,-1.7318228159994522,101
-6,0.4944576047967518,101
-5,-1.0336194495011992,101
-4,-1.6335705059320316,101
-3,-0.6309096351806988,101
-2,-0.6524147624609589,101
-1,0.0,101
0,-0.9538115419293164,101
1,-0.23267218388684974,101
2,-0.5998550553080556,101
3,-1.3250021410843273,101
4,-1.170741758199499,101
5,-0.3275806560378783,101
6,-0.2230165611604675,101
7,-0.8695331644186507,101
8,-0.1683418958896368,101
9,-1.6413362308318231,101
10,-0.6113650579514465,101
-9,0.9181540215619355,102
-8,-6.514107466151063,102
-7,-2.1289375540588953,102
-6,-10.023675239755965,102
-5,-3.9511368823576243,102
-4,-1.589635713896949,102
-3,-1.0578724479029202,102
-2,-2.5092988814822057,102
-1,0.0,102
0,-1.2280228373901796,102
1,-0.04043766085387889,102
2,-0.29949995458839834,102
3,-1.538370193797226,102
4,0.10740528553368069,102
5,1.0709114444092966,102
6,-1.8142607157320056,102
7,1.4354922299511232,102
8,0.9493035741272705,102
9,1.3101586238086147,102
10,-0.14216864344239422,102
-9,-2.3683522480459827,103
-8,-1.654499080340498,103
-7,0.863332281401,103
-6,1.1074472442057783,103
-5,-4.085844483814766,103
-4,-1.3584505253239902,103
-3,-1.3677299889810137,103
-2,-3.1230191673582026,103
-1,0.0,103
0,-1.4616483063102772,103
1,-0.5618539432770405,103
2,-10.06992014065606,103
3,-2.4629773778827566,103
4,-1.338379069827662,103
5,0.2634373485273167,103
6,-2.31125726510644,103
7,-0.4931335025165712,103
8,-0.45587049399994906,103
9,-0.23705099559955423,103
10,-4.480337431511352,103
-9,1.2545494628757587,104
-8,1.5519614679258669,104
-7,0.5594460660949571,104
-6,-2.4558094192487934,104
-5,-1.013573839224347,104
-4,0.2522685249276741,104
-3,-0.004696220062663832,104
-2,1.2249191984280834,104
-1,0.0,104
0,1.4290365518586947,104
1,1.4787251651772124,104
2,-0.23631525641841267,104
3,-0.26535424278704467,104
4,1.7582279911351921,104
5,1.5990110418603898,104
6,0.4592835622175618,104
7,1.8320197976899086,104
8,1.4499231346916752,104
9,1.4343155351441794,104
