event_time,coef,p05,p50,p95,fisher_p
-9,-0.8832361329542637,-10.258000566018039,-1.4866705896785284,2.8133483195917455,0.7464114832535885
-8,-1.2260664586090055,-10.698938940723787,-2.327094807199111,3.999704416171836,0.7942583732057417
-7,0.960063360758218,-9.680260758211999,-1.3535605533155828,5.065404663676965,0.7751196172248804
-6,0.9530093845228242,-9.78235336971349,-0.48781973916545246,6.455144663922606,0.5885167464114832
-5,-0.806650145041752,-7.949224803536913,-0.4512753774315917,8.10053637580743,0.7177033492822966
-4,0.5793327329112004,-9.98310392685083,-0.5353882580974977,6.347230788558968,0.7942583732057417
-3,1.3776108665222944,-11.109341140734088,-0.7478558718030773,4.78594116816629,0.5885167464114832
-2,0.8698595973949208,-8.434064041003133,-0.5277034258795193,6.4432857631876495,0.6267942583732058
-1,0.0,0.0,0.0,0.0,
0,-0.22234441454663073,-3.3224284425633566,-0.1651994297405764,7.863956259529641,0.8899521531100478
1,-0.04537683044758839,-3.4105918957295143,-0.2574335481459492,6.728592273782548,0.9808612440191388
2,0.46777190919958245,-1.946959321084506,0.4958118329540933,9.492161406290903,0.7511961722488039
3,-1.3596685790201448,-9.355960655333487,-0.7463861245101953,7.064541173790436,0.5167464114832536
4,0.262322588593322,-2.177159051716514,0.20634477173461294,9.068627036827822,0.84688995215311
5,0.8412490559327108,-2.4423598534324062,0.1880770879958441,9.044193870418091,0.6555023923444976
6,0.834567352561589,-2.3043649349350765,0.3466670476530359,9.497333954334708,0.6507177033492823
7,0.7407852454551037,-1.554500994963564,0.8123446993765773,9.675060778753888,0.7081339712918661
8,0.6878994810285122,-1.9433273300111822,0.39188031175064564,9.541055585134812,0.6985645933014354
9,0.9045844187464233,-2.655569944052005,0.07873482064183848,8.593220487103856,0.6507177033492823
10,0.3575683372717166,-1.8918198199647247,0.2498625427802954,9.085110539611847,0.8086124401913876
