event_time,coef,placebo_dma
-9,-2.668058552723988,100
-8,-4.3619028377567695,100
-7,-1.0715055231790482,100
-6,1.2148439586768456,100
-5,1.9237496630407893,100
-4,-0.7531615386134598,100
-3,-0.2893943257198617,100
-2,-4.295654638966327,100
-1,0.0,100
0,-0.6232897571841928,100
1,0.29735768649643446,100
2,0.010559651876296774,100
3,-2.9578686573879116,100
4,-0.6561075923725674,100
5,0.4266478600524835,100
6,-0.8207800394115806,100
7,1.281591178207904,100
8,-0.0636839087953853,100
9,0.2162691762009257,100
10,-0.6737147355827757,100
-9,1.141957634481455,101
-8,-1.907056600955383,101
-7,0.25686182985148975,101
-6,-0.05232125931066134,101
-5,1.2513126237384875,101
-4,0.5072955191219897,101
-3,0.6890476205865192,101
-2,0.21522087063679357,101
-1,0.0,101
0,-0.4251571443696259,101
1,0.34234702731793726,101
2,0.8340291798529573,101
3,1.1620842907463245,101
4,1.1344643510070778,101
5,0.1777371045245814,101
6,0.6232104007858769,101
7,1.207812666234735,101
8,0.3938431308683514,101
9,1.2347514593881144,101
10,-0.08502948731992174,101
-9,-9.864538752974974,102
-8,0.782315037370278,102
-7,0.9102525713151008,102
-6,-10.032487167105593,102
-5,0.33065927097011977,102
-4,-2.0036128622033575,102
-3,-10.998193914786391,102
-2,2.213896035507223,102
-1,0.0,102
0,-1.359083705928496,102
1,1.1357004986407109,102
2,-0.35626694747336024,102
3,-0.1629741358849997,102
4,0.06469195406563594,102
5,1.7166431486443376,102
6,-0.31274402161803816,102
7,0.5799753934787691,102
8,-0.614328873712907,102
9,0.9075857864308639,102
10,0.5579862134257445,102
-9,2.5237424844016685,103
-8,2.8087319547279224,103
-7,2.479525306565286,103
-6,7.653278031220394,103
-5,7.546724028548991,103
-4,-4.640922770485396,103
-3,0.02482465593170104,103
-2,2.5450124852356173,103
-1,0.0,103
0,3.27094265377499,103
1,3.081658564198683,103
2,5.5023770204650555,103
3,0.4383166531282951,103
4,5.380623094360185,103
5,4.130830806250174,103
6,4.694972877872656,103
7,-4.066352790523723,103
8,4.812294063883111,103
9,4.083657550110781,103
10,4.919294661412243,103
-9,-5.95769156368857,105
-8,0.373380019297239,105
-7,0.8423244404807922,105
-6,-5.507591680756049,105
-5,-0.6895080702033322,105
-4,0.62181702063708,105
-3,1.6645530341762529,105
-2,-1.5362699012329757,105
-1,0.0,105
0,0.7796295868653874,105
1,-0.14928515186412958,105
2,-0.2368515408815339,105
3,-0.5427425374719875,105
4,0.9649236814497163,105
5,1.3979903207621471,105
6,0.23316374353497446,105
7,-0.4983265067517484,105
8,0.940836337287442,105
9,0.6930990042971612,105
10,-1.0365346324292042,105
-9,-1.0579588517047136,106
-8,-2.8892184434267403,106
-7,-1.6228895540932544,106
-6,-0.09781383658803981,106
-5,-1.308624178066831,106
-4,-1.3260628870220799,106
-3,-0.45935921693629284,106
-2,0.16678966404487286,106
-1,0.0,106
0,-2.0256745628742814,106
1,-0.553333597451366,106
2,-0.443804799128901,106
3,-0.8812720449744916,106
4,-0.8512264913242764,106
5,-0.422127989563782,106
6,-0.3535651009527134,106
7,-0.17225461948489473,106
8,-1.0516041298021594,106
9,0.5739459243587475,106
10,0.49946561966861,106
-9,-3.3997551220687807,107
-8,-6.1191295989824095,107
-7,-1.7146761926954526,107
-6,-3.5405005554456386,107
-5,-0.516617794938995,107
-4,-1.9901591450166725,107
-3,-1.2270932077186154,107
-2,-0.9595978471656763,107
-1,0.0,107
0,-1.713228114511704,107
1,-2.1190508174657205,107
2,-0.6266692346089455,107
3,-1.1830580108385904,107
4,-1.5063514224485155,107
5,-0.6706037675231662,107
6,-1.3540586658740337,107
7,-1.0416985310806035,107
8,-1.719594763513484,107
9,-0.9769686358012593,107
10,-1.0097922807500717,107
-9,-3.5506629817348796,108
-8,-4.285982565786167,108
-7,2.092653368790511,108
-6,-1.9398042904104649,108
-5,-0.17448131280412646,108
-4,-0.21593098772001737,108
-3,1.9775190487568561,108
-2,-1.9421119025945552,108
-1,0.0,108
0,-0.8707236195343369,108
1,1.7011044474771484,108
2,0.7040890658635284,108
3,1.5398268067600613,108
4,0.10375317653087099,108
5,2.100904208686282,108
6,1.323641839559286,108
7,1.2802423909321294,108
8,0.29062018632455383,108
9,2.419946635217726,108
10,-0.42581389444016726,108
-9,-11.869267386313782,109
-8,-4.468643662856755,109
-7,-4.830102476314017,109
-6,-2.284613066706998,109
-5,-1.3201279535743442,109
-4,-12.594675608798589,109
-3,-13.002922548157674,109
-2,-4.163611181404719,109
-1,0.0,109
0,-1.0214412774523944,109
1,-4.345471075154352,109
2,-0.8061258466808339,109
3,-5.416818016655285,109
4,-1.8457523289644613,109
5,-1.8792221157685327,109
6,-0.7018775911281183,109
7,-1.0248118263534998,109
8,-2.2889524510188153,109
9,-3.084234042499601,109
10,-1.0217190065457578,109
-9,-0.7710123071923254,110
-8,-3.467726967902969,110
-7,-4.636077083253968,110
-6,0.5335515615796494,110
-5,0.3983253762210923,110
-4,0.2702957599375494,110
-3,-1.6809813377829,110
-2,-2.3447142656407944,110
-1,0.0,110
0,-1.982780914874593,110
1,-1.310990505509158,110
2,1.350794695531338,110
3,0.13400777044874723,110
4,-0.14667394139991546,110
5,-0.8807869148561726,110
6,0.5325303262636399,110
7,1.4921631423593011,110
8,0.14626326520132943,110
9,-1.6544177169083722,110
10,0.4060098934725938,110
-9,-0.36106368675574907,111
-8,-4.358161897941716,111
-7,-4.56866364058776,111
-6,-0.7211127475171254,111
-5,1.8696278790961165,111
-4,-0.7249201353644764,111
-3,-0.9220521393295673,111
-2,-0.2791224269601746,111
-1,0.0,111
0,-0.7422214423912025,111
1,0.16495778342853956,111
2,0.5360573898224306,111
3,-2.8350951739268275,111
4,-0.007334630801975161,111
5,1.427339296140089,111
6,1.8697335870662564,111
7,0.9457573800588496,111
8,0.13648462035403686,111
9,2.212318081399985,111
10,0.9623397429613564,111
-9,-3.5796619385439072,112
-8,-4.357204970664298,112
-7,1.4887372184001904,112
-6,-0.11273229291414252,112
-5,0.01883833411154381,112
-4,0.20407758690630576,112
-3,1.745220770049225,112
-2,0.6899916939908863,112
-1,0.0,112
0,-0.005115515100019054,112
1,1.5580604982284596,112
2,1.2416075522398502,112
3,0.8410285518340614,112
4,1.5891396102118354,112
5,1.8189700642990718,112
6,1.7220127970003163,112
7,1.9096801134891017,112
8,0.7003055990906414,112
9,2.5366251208087407,112
10,2.0435981342569023,112
-9,-10.273580687085195,113
-8,1.0739786345713327,113
-7,1.3767049266596474,113
-6,-1.0530056741456755,113
-5,-0.3387455501419756,113
-4,1.7518389504483192,113
-3,2.125799574057363,113
-2,-2.422067392927781,113
-1,0.0,113
0,1.674430028402284,113
1,1.3319650339504363,113
2,-0.41107962491937217,113
3,-2.7475986256660643,113
4,1.8073869617312857,113
5,1.6554180485435064,113
6,-0.4021722934656978,113
7,1.1819464499788341,113
8,1.7229486401939629,113
9,1.0592425039913633,113
10,-0.22931311165706778,113
-9,-10.65467229529833,114
-8,-2.854559844791187,114
-7,-1.922953082440774,114
-6,0.9026794743163706,114
-5,0.7502378044253634,114
-4,-1.3335404837689397,114
-3,-1.6146581351618352,114
-2,-1.1187262019802937,114
-1,0.0,114
0,-1.6019371679226047,114
1,-2.306626930923042,114
2,-0.16106799844912043,114
3,-1.4506728897273082,114
4,-0.6783009567182902,114
5,-0.19937498076749102,114
6,0.8902365830405121,114
7,1.7844344010554727,114
8,-0.9820354009866599,114
9,-1.9161573766038664,114
10,-0.5378359288065319,114
-9,-10.234630384417303,115
-8,1.1721089708136365,115
-7,2.193806585998671,115
-6,-4.923113610690259,115
-5,0.9005476011486482,115
-4,2.319523520184196,115
-3,3.0408877523770417,115
-2,1.6687968030127458,115
-1,0.0,115
0,0.5022349042313241,115
1,1.722967456540541,115
2,0.8283569701938427,115
3,1.368061706902001,115
4,2.8238120728282223,115
5,2.2748729106089853,115
6,1.9380083296148185,115
7,1.4065776317056986,115
8,2.216928337490076,115
9,0.8245853511484985,115
10,1.7558232885885214,115
-9,-0.6332784438146576,116
-8,6.098284546575331,116
-7,-2.003496729231312,116
-6,9.569291521151234,116
-5,7.13735489219919,116
-4,-1.3586866663800725,116
-3,6.634356449291625,116
-2,9.144760944749818,116
-1,0.0,116
0,8.396405368235904,116
1,7.804152836672457,116
2,10.704226560781889,116
3,9.79708698127047,116
4,10.415396542243952,116
5,9.88385367710587,116
6,10.196933221989612,116
7,10.401720836845014,116
8,10.563489150003429,116
9,10.293484814914775,116
10,9.979066302935772,116
-9,-3.659536172263008,117
-8,-2.29172322102144,117
-7,-1.1075661049566485,117
-6,-1.9531014394071737,117
-5,-1.9066563930369067,117
-4,-2.520122579722284,117
-3,-0.6384545545078969,117
-2,-1.1719166505129004,117
-1,0.0,117
0,-3.1505160913958385,117
1,-0.7577984966005575,117
2,-1.1120922314775294,117
3,-3.0724734151019852,117
4,-2.252774406126568,117
5,-0.852158261586942,117
6,-1.318149561630125,117
7,-1.2463274540020985,117
8,-3.1320693666436914,117
9,-1.253855325119833,117
10,-1.238217023210492,117
-9,-4.629586817334539,118
-8,-5.537910602512385,118
-7,-0.0805677554968745,118
-6,0.04344161936688898,118
-5,-0.3836536490285577,118
-4,-0.8593146379607347,118
-3,0.30409780135868003,118
-2,-0.6295521814890941,118
-1,0.0,118
0,-1.3149092078386275,118
1,-0.2574335481459492,118
2,-0.414129942304834,118
3,-2.000620420570289,118
4,-0.8101219512388845,118
5,0.21558733745932307,118
6,-0.24863719286979605,118
7,-1.070515503236166,118
8,-0.09013335617201214,118
9,0.17323524128544093,118
10,-0.0746270340526737,118
-9,1.8907785809012225,119
-8,3.76714273672519,119
-7,3.369239871186988,119
-6,5.302781214859006,119
-5,1.3101519296911313,119
-4,4.594462232110888,119
-3,3.6362820909582356,119
-2,2.7087185641019467,119
-1,0.0,119
0,0.5718277480298327,119
1,3.118942714136164,119
2,2.9579102097770584,119
3,1.1846102598543982,119
4,1.6742001243514983,119
5,3.3260993315542713,119
6,3.199707589070657,119
7,2.164246455271584,119
8,0.946646054046416,119
9,2.592315561931287,119
10,4.645427309394937,119
-9,-5.279775003270054,120
-8,-2.3250735520740657,120
-7,-0.17305703497633992,120
-6,-0.667042237576791,120
-5,-1.7420099423903388,120
-4,-1.9367359001366162,120
-3,0.05722734630639482,120
-2,0.46784885844316226,120
-1,0.0,120
0,-0.7931015940085252,120
1,-0.6431561558442072,120
2,0.04584606792960654,120
3,-0.4181527198359923,120
4,1.0243928407116807,120
5,0.33619208550684265,120
6,0.16888735404143784,120
7,0.6090873410758222,120
8,-0.4388884784339008,120
9,0.8513632356400287,120
10,1.1030724748982594,120
-9,-9.246203536417234,121
-8,-1.6992906179837615,121
-7,-0.9945668866709331,121
-6,0.0453971236711403,121
-5,0.4648721045514966,121
-4,0.7710947849146942,121
-3,-0.5484642084237582,121
-2,1.245630520890079,121
-1,0.0,121
0,0.3742851264352534,121
1,0.4489207642299772,121
2,2.1645023098711995,121
3,2.7578814471177613,121
4,1.6382330742286766,121
5,0.18423045313295516,121
6,0.566725993571189,121
7,1.8255299017939357,121
8,1.69427018688561,121
9,2.5861679795696766,121
10,2.2832119856088444,121
-9,-5.092459008266849,122
-8,0.5069707772694819,122
-7,0.6302223467932504,122
-6,-3.4311897815113888,122
-5,-3.1708716526894207,122
-4,1.6661105521025326,122
-3,1.5835164336566645,122
-2,-0.1820894804556184,122
-1,0.0,122
0,1.964066875573953,122
1,1.107526218548135,122
2,-0.6455975383920959,122
3,-0.1556012633402721,122
4,1.8335680711841011,122
5,1.0794375154432967,122
6,-0.8704212833476792,122
7,-1.149973640520668,122
8,1.0838461318881945,122
9,0.6210487955482213,122
10,0.08691729362237861,122
-9,-1.573381823845018,123
-8,1.9214380212007778,123
-7,1.9979112132329133,123
-6,1.914272879285382,123
-5,3.4243991391828903,123
-4,0.3768886161565955,123
-3,1.7407414840883921,123
-2,2.082760750679976,123
-1,0.0,123
0,0.36234835819349287,123
1,1.724793271699518,123
2,1.3664972542607003,123
3,1.0563810698485103,123
4,2.271120701925699,123
5,1.719289739849519,123
6,1.6891006650578364,123
7,2.6400432813207333,123
8,0.3471644930271387,123
9,2.275370899395286,123
10,2.1696961142961357,123
-9,-1.7222623352308248,124
-8,0.8318440751772888,124
-7,-2.251848548290932,124
-6,-1.1165058485235055,124
-5,0.5768364989771566,124
-4,1.039156280131102,124
-3,0.9320107329534076,124
-2,0.04819172013921268,124
-1,0.0,124
0,-0.39591756139307915,124
1,2.5371212485400925,124
2,0.7588201329209441,124
3,0.09713241809932137,124
4,-0.18583509881282412,124
5,0.00883221987181196,124
6,1.2677577668149558,124
7,0.5296323600253732,124
8,-0.3226504929940186,124
9,0.7859564319142643,124
10,0.2720517427236732,124
-9,7.7180401409260915,125
-8,-2.3270948083853,125
-7,5.517421178945893,125
-6,8.081248408544484,125
-5,-0.9735524283198412,125
-4,-1.3586866842067933,125
-3,3.613912589029862,125
-2,6.644922986224006,125
-1,0.0,125
0,10.606659679341062,125
1,9.455085847073802,125
2,10.312519887998128,125
3,7.79858400738323,125
4,8.887319241296781,125
5,8.84216534806134,125
6,9.148492828929779,125
7,8.281536086350686,125
8,9.584968012784172,125
9,9.334655981468144,125
10,7.792225531947814,125
-9,-10.798120205379968,126
-8,-3.2192438090602926,126
-7,-1.544719630836659,126
-6,-10.96606861950118,126
-5,-3.8357216473733837,126
-4,-11.523528427916048,126
-3,-11.931775367202448,126
-2,0.4028317244596007,126
-1,0.0,126
0,-1.8650018107833066,126
1,-0.1343689764749037,126
2,-0.7940886091119285,126
3,-1.4984058426205282,126
4,-0.24609677890135492,126
5,-1.0542587394879672,126
6,-1.6447698165763618,126
7,-0.8965656942282668,126
8,-1.2939813931615274,126
9,0.784920598448197,126
10,-3.638328125432574,126
-9,-1.558301682074797,127
-8,0.6700026570854123,127
-7,-5.2070055362973955,127
-6,-11.528313146225951,127
-5,0.3913070527006685,127
-4,1.6391793805234294,127
-3,-1.4501329644180472,127
-2,-0.7296257581393221,127
-1,0.0,127
0,-0.5565054309961632,127
1,0.35842640407362264,127
2,0.12226440614495604,127
3,-1.9897595754754185,127
4,1.9293063539376158,127
5,0.5799789378342037,127
6,0.8057453505567974,127
7,0.16054965826821782,127
8,1.1456279715210762,127
