spec,event_date,pre_window,post_window,philly_pre,philly_post,philly_delta,pitt_pre,pitt_post,pitt_delta,rou_pre,rou_post,rou_delta,DiD_vs_pitt,DiD_vs_rou
A_passage_jun2016,2016-06-01,2014-12 - 2016-05,2016-06 - 2017-11,35279.88888888889,59527.055555555555,24247.166666666664,5195.666666666667,18688.777777777777,13493.11111111111,4934.477405635301,10890.04572036151,5955.568314726209,10754.055555555555,18291.598351940454
B_effective_jan2017,2017-01-01,2015-07 - 2016-12,2017-01 - 2018-06,42158.88888888889,56866.77777777778,14707.88888888889,10376.333333333334,14771.222222222223,4394.888888888889,6930.262094630515,8850.844231791601,1920.5821371610864,10313.000000000002,12787.306751727803
