MarketCode,year_month,AdvParentCode,PCCSubCode,spend_total,units_total,n_spots
100,2018-12,1072898,F310,0.00,3,3
100,2018-12,1810611,F310,0.00,1,1
101,2018-12,1072898,F310,0.00,7,7
101,2018-12,1122372,F310,0.00,12,12
101,2018-12,1810611,F310,0.00,9,9
101,2018-12,7824,F310,0.00,2,2
102,2018-12,1072898,F310,0.00,4,4
102,2018-12,1122372,F310,0.00,6,6
102,2018-12,1810611,F310,0.00,2,2
103,2018-12,1072898,F310,0.00,4,4
103,2018-12,1122372,F310,0.00,6,6
103,2018-12,1810611,F310,0.00,2,2
104,2018-12,1072898,F310,0.00,4,4
104,2018-12,1122372,F310,0.00,6,6
104,2018-12,1810611,F310,0.00,2,2
104,2018-12,7824,F310,0.00,1,1
105,2018-12,1072898,F310,0.00,4,4
105,2018-12,1122372,F310,0.00,8,8
105,2018-12,1810611,F310,0.00,2,2
105,2018-12,7824,F310,0.00,2,2
106,2018-12,1072898,F310,0.00,6,6
106,2018-12,1122372,F310,0.00,25,25
106,2018-12,1810611,F310,0.00,2,2
106,2018-12,514278,F310,0.00,2,2
106,2018-12,7824,F310,0.00,1,1
107,2018-12,1072898,F310,34.00,5,5
107,2018-12,1122372,F310,0.00,6,6
107,2018-12,1810611,F310,0.00,2,2
108,2018-12,1072898,F310,0.00,4,4
108,2018-12,1122372,F310,0.00,5,5
108,2018-12,1810611,F310,0.00,1,1
109,2018-12,1072898,F310,0.00,2,2
109,2018-12,1122372,F310,0.00,4,4
109,2018-12,1810611,F310,0.00,2,2
110,2018-12,1072898,F310,0.00,4,4
110,2018-12,1122372,F310,0.00,10,10
110,2018-12,1810611,F310,0.00,2,2
110,2018-12,2691311,F310,0.00,1,1
111,2018-12,1072898,F310,0.00,5,5
111,2018-12,1122372,F310,0.00,7,7
111,2018-12,1810611,F310,0.00,2,2
111,2018-12,7824,F310,0.00,6,6
112,2018-12,1072898,F310,0.00,4,4
112,2018-12,1122372,F310,0.00,5,5
112,2018-12,1810611,F310,0.00,1,1
113,2018-12,1072898,F310,0.00,4,4
113,2018-12,1122372,F310,0.00,6,6
113,2018-12,1810611,F310,0.00,1,1
114,2018-12,1072898,F310,0.00,4,4
114,2018-12,1122372,F310,0.00,4,4
115,2018-12,1072898,F310,0.00,6,6
115,2018-12,1122372,F310,0.00,7,7
115,2018-12,1810611,F310,58.00,4,4
115,2018-12,2677800,F310,0.00,2,2
115,2018-12,7824,F310,0.00,4,4
116,2018-12,1072898,F310,0.00,3,3
116,2018-12,1122372,F310,0.00,3,3
116,2018-12,1810611,F310,0.00,2,2
117,2018-12,1072898,F310,0.00,4,4
117,2018-12,1122372,F310,0.00,5,5
117,2018-12,1810611,F310,0.00,2,2
118,2018-12,1072898,F310,0.00,4,4
118,2018-12,1122372,F310,0.00,4,4
118,2018-12,1810611,F310,0.00,2,2
119,2018-12,1072898,F310,0.00,4,4
119,2018-12,1122372,F310,0.00,5,5
119,2018-12,1810611,F310,0.00,2,2
120,2018-12,1072898,F310,0.00,4,4
120,2018-12,1122372,F310,0.00,5,5
120,2018-12,1810611,F310,0.00,2,2
121,2018-12,1072898,F310,0.00,4,4
121,2018-12,1122372,F310,0.00,4,4
121,2018-12,1810611,F310,0.00,2,2
122,2018-12,1072898,F310,0.00,4,4
122,2018-12,1122372,F310,0.00,6,6
122,2018-12,1810611,F310,0.00,2,2
123,2018-12,1072898,F310,0.00,4,4
123,2018-12,1122372,F310,0.00,6,6
123,2018-12,1810611,F310,0.00,2,2
124,2018-12,1072898,F310,0.00,7,7
124,2018-12,1122372,F310,0.00,13,13
124,2018-12,1810611,F310,0.00,2,2
124,2018-12,491893,F310,43.00,1,1
124,2018-12,7824,F310,0.00,3,3
125,2018-12,1072898,F310,0.00,1,1
125,2018-12,1122372,F310,0.00,2,2
126,2018-12,1072898,F310,0.00,1,1
126,2018-12,1122372,F310,0.00,2,2
127,2018-12,1072898,F310,0.00,9,9
127,2018-12,1122372,F310,0.00,6,6
127,2018-12,1810611,F310,0.00,2,2
127,2018-12,7824,F310,0.00,2,2
128,2018-12,1072898,F310,0.00,7,7
128,2018-12,1122372,F310,0.00,9,9
128,2018-12,1810611,F310,0.00,2,2
128,2018-12,7824,F310,0.00,1,1
129,2018-12,1072898,F310,0.00,3,3
129,2018-12,1122372,F310,0.00,3,3
129,2018-12,1810611,F310,0.00,2,2
130,2018-12,1072898,F310,0.00,4,4
130,2018-12,1122372,F310,0.00,6,6
130,2018-12,1810611,F310,0.00,2,2
131,2018-12,1072898,F310,0.00,4,4
131,2018-12,1122372,F310,0.00,5,5
131,2018-12,1810611,F310,0.00,2,2
132,2018-12,1072898,F310,0.00,4,4
132,2018-12,1122372,F310,0.00,5,5
132,2018-12,1810611,F310,0.00,2,2
133,2018-12,1072898,F310,0.00,5,5
133,2018-12,1122372,F310,0.00,4,4
133,2018-12,1810611,F310,0.00,2,2
133,2018-12,7824,F310,0.00,2,2
135,2018-12,1072898,F310,0.00,5,5
135,2018-12,1122372,F310,0.00,6,6
135,2018-12,1810611,F310,0.00,2,2
135,2018-12,2677800,F310,0.00,2,2
135,2018-12,7824,F310,0.00,6,6
136,2018-12,1072898,F310,0.00,3,3
136,2018-12,1122372,F310,0.00,3,3
136,2018-12,1810611,F310,0.00,2,2
137,2018-12,1072898,F310,0.00,3,3
137,2018-12,1122372,F310,0.00,2,2
137,2018-12,1810611,F310,0.00,2,2
138,2018-12,1072898,F310,0.00,4,4
138,2018-12,1122372,F310,0.00,6,6
138,2018-12,1810611,F310,0.00,2,2
139,2018-12,1072898,F310,0.00,4,4
139,2018-12,1122372,F310,0.00,12,12
139,2018-12,1810611,F310,0.00,1,1
139,2018-12,7824,F310,0.00,6,6
140,2018-12,1072898,F310,0.00,2,2
140,2018-12,1122372,F310,0.00,2,2
140,2018-12,1810611,F310,0.00,2,2
141,2018-12,1072898,F310,0.00,6,6
141,2018-12,1122372,F310,0.00,7,7
141,2018-12,1810611,F310,0.00,4,4
142,2018-12,1072898,F310,0.00,4,4
142,2018-12,1122372,F310,0.00,4,4
142,2018-12,1810611,F310,0.00,2,2
143,2018-12,1072898,F310,0.00,3,3
143,2018-12,1122372,F310,0.00,3,3
143,2018-12,1810611,F310,0.00,2,2
144,2018-12,1072898,F310,0.00,4,4
144,2018-12,1122372,F310,0.00,4,4
144,2018-12,1810611,F310,0.00,2,2
145,2018-12,1072898,F310,0.00,4,4
145,2018-12,1122372,F310,0.00,6,6
145,2018-12,1810611,F310,0.00,2,2
146,2018-12,1072898,F310,0.00,4,4
146,2018-12,1122372,F310,0.00,5,5
146,2018-12,1810611,F310,0.00,2,2
147,2018-12,1072898,F310,0.00,4,4
147,2018-12,1122372,F310,0.00,6,6
147,2018-12,1810611,F310,0.00,2,2
148,2018-12,1072898,F310,0.00,4,4
148,2018-12,1122372,F310,0.00,7,7
148,2018-12,1810611,F310,0.00,2,2
148,2018-12,7824,F310,0.00,2,2
149,2018-12,1072898,F310,0.00,3,3
149,2018-12,1122372,F310,0.00,2,2
149,2018-12,1810611,F310,0.00,2,2
150,2018-12,1072898,F310,0.00,4,4
150,2018-12,1122372,F310,0.00,6,6
150,2018-12,1810611,F310,0.00,2,2
151,2018-12,1072898,F310,0.00,4,4
151,2018-12,1122372,F310,0.00,6,6
151,2018-12,1810611,F310,0.00,2,2
152,2018-12,1072898,F310,0.00,3,3
152,2018-12,1122372,F310,0.00,3,3
152,2018-12,1810611,F310,0.00,2,2
153,2018-12,1072898,F310,0.00,3,3
153,2018-12,1122372,F310,0.00,3,3
153,2018-12,1810611,F310,0.00,2,2
154,2018-12,1072898,F310,0.00,3,3
154,2018-12,1122372,F310,0.00,3,3
154,2018-12,1810611,F310,0.00,2,2
155,2018-12,1072898,F310,0.00,3,3
155,2018-12,1122372,F310,0.00,3,3
155,2018-12,1810611,F310,0.00,2,2
156,2018-12,1072898,F310,0.00,4,4
156,2018-12,1122372,F310,0.00,6,6
156,2018-12,1810611,F310,0.00,2,2
157,2018-12,1072898,F310,0.00,4,4
157,2018-12,1122372,F310,0.00,5,5
157,2018-12,1810611,F310,0.00,2,2
157,2018-12,7824,F310,0.00,1,1
159,2018-12,1072898,F310,0.00,3,3
159,2018-12,1122372,F310,0.00,3,3
159,2018-12,1810611,F310,0.00,2,2
160,2018-12,1072898,F310,0.00,3,3
160,2018-12,1122372,F310,0.00,5,5
160,2018-12,1810611,F310,0.00,2,2
160,2018-12,7824,F310,0.00,2,2
161,2018-12,1072898,F310,0.00,4,4
161,2018-12,1122372,F310,0.00,5,5
161,2018-12,1810611,F310,0.00,2,2
163,2018-12,1072898,F310,0.00,4,4
163,2018-12,1122372,F310,0.00,8,8
163,2018-12,1810611,F310,0.00,2,2
163,2018-12,7824,F310,0.00,1,1
