MarketCode,year_month,AdvParentCode,PCCSubCode,spend_total,units_total,n_spots
100,2018-01,1072898,F310,0.00,20,20
100,2018-01,1122372,F310,0.00,28,28
100,2018-01,1810611,F310,0.00,3,3
101,2018-01,1072898,F310,0.00,255,255
101,2018-01,1122372,F310,0.00,1120,1120
101,2018-01,1810611,F310,0.00,409,409
101,2018-01,514278,F310,109.00,52,52
101,2018-01,7824,F310,0.00,344,344
102,2018-01,1072898,F310,51.00,30,30
102,2018-01,1122372,F310,0.00,19,19
102,2018-01,1810611,F310,0.00,1,1
102,2018-01,514278,F310,0.00,3,3
103,2018-01,1072898,F310,0.00,40,40
103,2018-01,1122372,F310,0.00,34,34
103,2018-01,514278,F310,0.00,3,3
104,2018-01,1072898,F310,0.00,36,36
104,2018-01,1122372,F310,0.00,83,83
104,2018-01,1810611,F310,0.00,3,3
104,2018-01,514278,F310,0.00,3,3
104,2018-01,74498,F310,0.00,43,43
104,2018-01,7824,F310,0.00,1,1
105,2018-01,1072898,F310,0.00,42,42
105,2018-01,1122372,F310,0.00,89,89
105,2018-01,1810611,F310,0.00,3,3
105,2018-01,2307162,F310,0.00,13,13
105,2018-01,514278,F310,0.00,1,1
105,2018-01,7824,F310,0.00,83,83
106,2018-01,1072898,F310,14265.00,105,105
106,2018-01,1122372,F310,1039.00,292,292
106,2018-01,1277752,F310,0.00,16,16
106,2018-01,1810611,F310,0.00,53,53
106,2018-01,514278,F310,0.00,20,20
106,2018-01,7824,F310,0.00,223,223
107,2018-01,1072898,F310,42.00,41,41
107,2018-01,1122372,F310,0.00,40,40
107,2018-01,1810611,F310,0.00,3,3
107,2018-01,514278,F310,0.00,3,3
108,2018-01,1072898,F310,0.00,40,40
108,2018-01,1122372,F310,0.00,71,71
108,2018-01,1810611,F310,0.00,3,3
108,2018-01,514278,F310,0.00,3,3
108,2018-01,7824,F310,0.00,5,5
109,2018-01,1072898,F310,0.00,28,28
109,2018-01,1122372,F310,0.00,19,19
109,2018-01,1810611,F310,0.00,3,3
109,2018-01,514278,F310,0.00,3,3
110,2018-01,1072898,F310,0.00,45,45
110,2018-01,1122372,F310,0.00,54,54
110,2018-01,1810611,F310,0.00,2,2
110,2018-01,2307162,F310,0.00,15,15
110,2018-01,514278,F310,0.00,3,3
110,2018-01,7824,F310,0.00,11,11
111,2018-01,1072898,F310,0.00,36,36
111,2018-01,1122372,F310,0.00,125,125
111,2018-01,1810611,F310,0.00,1,1
111,2018-01,514278,F310,0.00,3,3
111,2018-01,74498,F310,0.00,16,16
111,2018-01,7824,F310,0.00,138,138
112,2018-01,1072898,F310,0.00,36,36
112,2018-01,1122372,F310,0.00,39,39
112,2018-01,1810611,F310,0.00,2,2
112,2018-01,514278,F310,0.00,3,3
113,2018-01,1072898,F310,0.00,39,39
113,2018-01,1122372,F310,0.00,39,39
113,2018-01,1810611,F310,0.00,3,3
113,2018-01,514278,F310,0.00,3,3
114,2018-01,1072898,F310,0.00,48,48
114,2018-01,1122372,F310,0.00,97,97
114,2018-01,1810611,F310,0.00,3,3
114,2018-01,514278,F310,0.00,1,1
115,2018-01,1072898,F310,0.00,41,41
115,2018-01,1122372,F310,0.00,74,74
115,2018-01,1810611,F310,0.00,3,3
115,2018-01,2307162,F310,0.00,21,21
115,2018-01,514278,F310,0.00,3,3
115,2018-01,7824,F310,0.00,18,18
116,2018-01,1072898,F310,0.00,35,35
116,2018-01,1122372,F310,0.00,40,40
116,2018-01,1810611,F310,0.00,3,3
116,2018-01,514278,F310,0.00,2,2
117,2018-01,1072898,F310,0.00,36,36
117,2018-01,1122372,F310,464.00,50,50
117,2018-01,1810611,F310,0.00,3,3
117,2018-01,514278,F310,0.00,3,3
117,2018-01,7824,F310,0.00,1,1
118,2018-01,1072898,F310,0.00,37,37
118,2018-01,1122372,F310,536.00,42,42
118,2018-01,1810611,F310,0.00,3,3
118,2018-01,514278,F310,0.00,4,4
118,2018-01,7824,F310,0.00,1,1
119,2018-01,1072898,F310,0.00,40,40
119,2018-01,1122372,F310,68.00,41,41
119,2018-01,1810611,F310,0.00,3,3
119,2018-01,514278,F310,0.00,3,3
120,2018-01,1072898,F310,0.00,38,38
120,2018-01,1122372,F310,4.00,43,43
120,2018-01,1810611,F310,0.00,3,3
120,2018-01,514278,F310,0.00,2,2
121,2018-01,1072898,F310,0.00,39,39
121,2018-01,1122372,F310,21.00,42,42
121,2018-01,1810611,F310,0.00,2,2
121,2018-01,514278,F310,0.00,3,3
122,2018-01,1072898,F310,0.00,41,41
122,2018-01,1122372,F310,0.00,38,38
122,2018-01,1810611,F310,0.00,2,2
122,2018-01,514278,F310,0.00,3,3
123,2018-01,1072898,F310,81.00,52,52
123,2018-01,1122372,F310,0.00,58,58
123,2018-01,1810611,F310,0.00,3,3
123,2018-01,2164120,F310,2597.00,70,70
123,2018-01,514278,F310,0.00,3,3
124,2018-01,1072898,F310,1862.00,74,74
124,2018-01,1122372,F310,0.00,181,181
124,2018-01,1810611,F310,0.00,3,3
124,2018-01,514278,F310,0.00,3,3
124,2018-01,7824,F310,0.00,112,112
125,2018-01,1072898,F310,0.00,25,25
125,2018-01,1122372,F310,0.00,26,26
125,2018-01,514278,F310,0.00,3,3
126,2018-01,1072898,F310,0.00,17,17
126,2018-01,1122372,F310,0.00,27,27
126,2018-01,156088,F310,0.00,6,6
126,2018-01,1810611,F310,0.00,3,3
126,2018-01,514278,F310,0.00,3,3
127,2018-01,1072898,F310,0.00,64,64
127,2018-01,1122372,F310,0.00,95,95
127,2018-01,1810611,F310,0.00,3,3
127,2018-01,514278,F310,0.00,3,3
127,2018-01,7824,F310,0.00,50,50
128,2018-01,1072898,F310,0.00,223,223
128,2018-01,1122372,F310,0.00,771,771
128,2018-01,1810611,F310,0.00,199,199
128,2018-01,514278,F310,0.00,53,53
128,2018-01,7824,F310,0.00,46,46
129,2018-01,1072898,F310,460.00,51,51
129,2018-01,1122372,F310,0.00,43,43
129,2018-01,1810611,F310,0.00,3,3
129,2018-01,514278,F310,0.00,3,3
129,2018-01,7824,F310,0.00,1,1
130,2018-01,1072898,F310,0.00,24,24
130,2018-01,1122372,F310,0.00,30,30
130,2018-01,1810611,F310,0.00,3,3
130,2018-01,514278,F310,0.00,3,3
131,2018-01,1072898,F310,0.00,38,38
131,2018-01,1122372,F310,0.00,37,37
131,2018-01,514278,F310,0.00,2,2
132,2018-01,1072898,F310,0.00,37,37
132,2018-01,1122372,F310,0.00,44,44
132,2018-01,1810611,F310,0.00,1,1
132,2018-01,514278,F310,0.00,2,2
133,2018-01,1072898,F310,13.00,46,46
133,2018-01,1122372,F310,0.00,58,58
133,2018-01,1810611,F310,0.00,3,3
133,2018-01,514278,F310,0.00,11,11
133,2018-01,7824,F310,0.00,50,50
134,2018-01,1072898,F310,0.00,37,37
134,2018-01,1122372,F310,0.00,45,45
134,2018-01,1810611,F310,0.00,2,2
134,2018-01,514278,F310,0.00,3,3
134,2018-01,7824,F310,0.00,1,1
135,2018-01,1072898,F310,0.00,37,37
135,2018-01,1122372,F310,1043.00,70,70
135,2018-01,1810611,F310,0.00,3,3
135,2018-01,2307162,F310,9518.00,47,47
135,2018-01,514278,F310,0.00,4,4
135,2018-01,7824,F310,0.00,16,16
136,2018-01,1072898,F310,819.00,30,30
136,2018-01,1122372,F310,0.00,32,32
136,2018-01,1810611,F310,0.00,3,3
137,2018-01,1072898,F310,0.00,26,26
137,2018-01,1122372,F310,0.00,28,28
138,2018-01,1072898,F310,0.00,38,38
138,2018-01,1122372,F310,0.00,42,42
138,2018-01,1810611,F310,0.00,3,3
138,2018-01,514278,F310,0.00,2,2
139,2018-01,1072898,F310,0.00,53,53
139,2018-01,1122372,F310,0.00,189,189
139,2018-01,1810611,F310,0.00,6,6
139,2018-01,514278,F310,0.00,2,2
139,2018-01,7824,F310,0.00,44,44
140,2018-01,1072898,F310,0.00,35,35
140,2018-01,1122372,F310,0.00,38,38
140,2018-01,1810611,F310,0.00,2,2
140,2018-01,514278,F310,0.00,1,1
141,2018-01,1072898,F310,0.00,47,47
141,2018-01,1122372,F310,0.00,39,39
