MarketCode,year_month,AdvParentCode,PCCSubCode,spend_total,units_total,n_spots
100,2015-12,1072898,F310,0.00,9,9
100,2015-12,1122372,F310,0.00,2,2
101,2015-12,1072898,F310,0.00,40,40
101,2015-12,1122372,F310,0.00,16,16
101,2015-12,1810611,F310,0.00,5,5
101,2015-12,514278,F310,0.00,3,3
101,2015-12,7824,F310,273.00,3,3
102,2015-12,1072898,F310,0.00,7,7
102,2015-12,1122372,F310,0.00,2,2
103,2015-12,1072898,F310,5305.00,31,31
103,2015-12,1122372,F310,0.00,1,1
104,2015-12,1072898,F310,0.00,9,9
104,2015-12,1122372,F310,0.00,1,1
104,2015-12,7824,F310,0.00,6,6
105,2015-12,1072898,F310,0.00,10,10
105,2015-12,1122372,F310,28316.00,48,48
105,2015-12,2307162,F310,0.00,1,1
105,2015-12,7824,F310,0.00,1,1
106,2015-12,1072898,F310,0.00,50,50
106,2015-12,1122372,F310,0.00,10,10
106,2015-12,1277752,F310,0.00,1,1
106,2015-12,1810611,F310,0.00,1,1
106,2015-12,514278,F310,0.00,1,1
106,2015-12,7824,F310,87.00,9,9
107,2015-12,1072898,F310,6837.00,47,47
107,2015-12,1122372,F310,0.00,1,1
108,2015-12,1072898,F310,0.00,10,10
108,2015-12,1122372,F310,0.00,2,2
108,2015-12,7824,F310,73.00,9,9
109,2015-12,1072898,F310,0.00,10,10
109,2015-12,1122372,F310,0.00,2,2
110,2015-12,1072898,F310,0.00,13,13
110,2015-12,1122372,F310,0.00,1,1
110,2015-12,2307162,F310,0.00,2,2
110,2015-12,7824,F310,0.00,6,6
111,2015-12,1072898,F310,0.00,9,9
111,2015-12,1122372,F310,0.00,2,2
111,2015-12,7824,F310,245.00,5,5
112,2015-12,1072898,F310,0.00,10,10
112,2015-12,1122372,F310,0.00,2,2
112,2015-12,7824,F310,0.00,2,2
113,2015-12,1072898,F310,0.00,10,10
113,2015-12,1122372,F310,0.00,2,2
113,2015-12,7824,F310,36.00,3,3
114,2015-12,1072898,F310,0.00,10,10
114,2015-12,1122372,F310,0.00,2,2
114,2015-12,7824,F310,0.00,2,2
115,2015-12,1072898,F310,0.00,14,14
115,2015-12,1122372,F310,8830.00,28,28
115,2015-12,2307162,F310,0.00,3,3
115,2015-12,7824,F310,0.00,7,7
116,2015-12,1072898,F310,0.00,7,7
116,2015-12,1122372,F310,0.00,2,2
117,2015-12,1072898,F310,0.00,9,9
117,2015-12,1122372,F310,0.00,2,2
117,2015-12,7824,F310,8.00,4,4
118,2015-12,1072898,F310,0.00,10,10
118,2015-12,1122372,F310,0.00,1,1
118,2015-12,7824,F310,177.00,4,4
119,2015-12,1072898,F310,0.00,10,10
119,2015-12,1122372,F310,0.00,2,2
119,2015-12,7824,F310,13.00,3,3
120,2015-12,1072898,F310,3235.00,37,37
120,2015-12,1122372,F310,0.00,2,2
121,2015-12,1072898,F310,0.00,10,10
121,2015-12,1122372,F310,0.00,2,2
121,2015-12,7824,F310,101.00,3,3
122,2015-12,1072898,F310,0.00,10,10
122,2015-12,1122372,F310,0.00,2,2
123,2015-12,1072898,F310,0.00,10,10
123,2015-12,1122372,F310,0.00,2,2
124,2015-12,1072898,F310,41164.00,113,113
124,2015-12,1122372,F310,0.00,2,2
124,2015-12,7824,F310,205.00,7,7
125,2015-12,1072898,F310,0.00,1,1
126,2015-12,1072898,F310,0.00,4,4
127,2015-12,1072898,F310,0.00,13,13
127,2015-12,1122372,F310,0.00,1,1
127,2015-12,7824,F310,30.00,2,2
128,2015-12,1072898,F310,0.00,48,48
128,2015-12,1122372,F310,0.00,16,16
128,2015-12,1810611,F310,0.00,5,5
128,2015-12,514278,F310,0.00,3,3
128,2015-12,7824,F310,0.00,5,5
129,2015-12,1072898,F310,0.00,10,10
129,2015-12,1122372,F310,10223.00,42,42
129,2015-12,1810611,F310,0.00,1,1
129,2015-12,7824,F310,0.00,6,6
130,2015-12,1072898,F310,0.00,9,9
131,2015-12,1072898,F310,0.00,10,10
131,2015-12,1122372,F310,0.00,2,2
131,2015-12,7824,F310,0.00,2,2
132,2015-12,1072898,F310,0.00,8,8
132,2015-12,1122372,F310,0.00,2,2
132,2015-12,2307162,F310,14.00,2,2
133,2015-12,1072898,F310,0.00,10,10
133,2015-12,1122372,F310,0.00,2,2
133,2015-12,7824,F310,0.00,5,5
134,2015-12,1072898,F310,0.00,9,9
134,2015-12,1122372,F310,0.00,2,2
134,2015-12,7824,F310,0.00,2,2
135,2015-12,1072898,F310,0.00,15,15
135,2015-12,1122372,F310,15439.00,42,42
135,2015-12,1810611,F310,0.00,4,4
135,2015-12,2307162,F310,0.00,3,3
135,2015-12,7824,F310,0.00,2,2
136,2015-12,1072898,F310,0.00,9,9
136,2015-12,1122372,F310,0.00,2,2
137,2015-12,1072898,F310,0.00,9,9
137,2015-12,1122372,F310,0.00,2,2
138,2015-12,1072898,F310,0.00,10,10
138,2015-12,1122372,F310,0.00,2,2
139,2015-12,1072898,F310,0.00,25,25
139,2015-12,1122372,F310,0.00,1,1
139,2015-12,7824,F310,0.00,4,4
140,2015-12,1072898,F310,0.00,9,9
140,2015-12,1122372,F310,0.00,1,1
141,2015-12,1072898,F310,0.00,14,14
141,2015-12,1122372,F310,4625.00,25,25
142,2015-12,1072898,F310,0.00,10,10
142,2015-12,1122372,F310,0.00,2,2
142,2015-12,7824,F310,136.00,4,4
143,2015-12,1072898,F310,0.00,9,9
143,2015-12,1122372,F310,0.00,2,2
144,2015-12,1072898,F310,0.00,10,10
144,2015-12,1122372,F310,0.00,2,2
144,2015-12,7824,F310,0.00,2,2
145,2015-12,1072898,F310,0.00,9,9
145,2015-12,1122372,F310,0.00,2,2
146,2015-12,1072898,F310,0.00,10,10
146,2015-12,1122372,F310,0.00,1,1
146,2015-12,7824,F310,0.00,2,2
147,2015-12,1072898,F310,0.00,10,10
147,2015-12,1122372,F310,0.00,2,2
147,2015-12,7824,F310,0.00,1,1
148,2015-12,1072898,F310,660.00,25,25
148,2015-12,1122372,F310,0.00,2,2
148,2015-12,7824,F310,0.00,3,3
149,2015-12,1072898,F310,0.00,9,9
149,2015-12,1122372,F310,0.00,1,1
150,2015-12,1072898,F310,0.00,8,8
150,2015-12,1122372,F310,0.00,1,1
151,2015-12,1072898,F310,0.00,10,10
151,2015-12,1122372,F310,0.00,2,2
152,2015-12,1072898,F310,0.00,4,4
152,2015-12,1122372,F310,0.00,2,2
153,2015-12,1072898,F310,0.00,7,7
153,2015-12,1122372,F310,0.00,2,2
154,2015-12,1072898,F310,0.00,4,4
154,2015-12,1122372,F310,0.00,1,1
155,2015-12,1072898,F310,0.00,9,9
155,2015-12,1122372,F310,0.00,2,2
155,2015-12,7824,F310,43.00,4,4
156,2015-12,1072898,F310,0.00,8,8
156,2015-12,1122372,F310,0.00,2,2
157,2015-12,1072898,F310,0.00,10,10
