MarketCode,year_month,AdvParentCode,PCCSubCode,spend_total,units_total,n_spots
100,2023-01,1072898,F310,3243.06,2,2
101,2023-01,1072898,F310,118699.50,4,4
102,2023-01,1072898,F310,288.30,1,1
103,2023-01,1072898,F310,159.12,1,1
104,2023-01,1072898,F310,10783.77,1,1
104,2023-01,514278,F310,72.80,1,1
105,2023-01,514278,F310,154.32,1,1
106,2023-01,1072898,F310,10722.90,1,1
107,2023-01,1072898,F310,2303.88,3,3
108,2023-01,1072898,F310,4830.53,1,1
109,2023-01,1072898,F310,2798.02,2,2
109,2023-01,1122372,F310,1860.00,1,1
110,2023-01,1072898,F310,19628.17,3,3
111,2023-01,1072898,F310,1351.21,1,1
112,2023-01,1072898,F310,36827.71,2,2
113,2023-01,1072898,F310,1395.00,1,1
113,2023-01,1122372,F310,3231.75,2,2
114,2023-01,1072898,F310,13471.28,3,3
114,2023-01,1122372,F310,1049.57,1,1
115,2023-01,1072898,F310,29129.95,3,3
115,2023-01,1122372,F310,3856.59,2,2
116,2023-01,1072898,F310,66.96,1,1
117,2023-01,1072898,F310,7467.35,3,3
118,2023-01,1072898,F310,2099.57,6,6
119,2023-01,1072898,F310,1347.93,3,3
120,2023-01,1072898,F310,728.00,1,1
121,2023-01,1072898,F310,832.48,2,2
122,2023-01,1072898,F310,1026.43,3,3
123,2023-01,1072898,F310,516.58,2,2
124,2023-01,1072898,F310,4245.07,2,2
124,2023-01,514278,F310,95.58,1,1
125,2023-01,1072898,F310,116.25,1,1
126,2023-01,1072898,F310,697.50,1,1
127,2023-01,1072898,F310,107.88,1,1
127,2023-01,1122372,F310,180.70,1,1
128,2023-01,1072898,F310,3487.50,3,3
128,2023-01,514278,F310,184.33,2,2
129,2023-01,1072898,F310,1397.14,3,3
129,2023-01,1122372,F310,3487.81,6,6
130,2023-01,1072898,F310,1127.28,3,3
131,2023-01,1072898,F310,255.75,1,1
132,2023-01,1072898,F310,1077.25,1,1
133,2023-01,1072898,F310,379.59,1,1
134,2023-01,1072898,F310,1218.36,1,1
135,2023-01,1072898,F310,865.13,1,1
136,2023-01,1072898,F310,1494.98,2,2
137,2023-01,1072898,F310,125.50,2,2
138,2023-01,1072898,F310,414.32,1,1
139,2023-01,1072898,F310,2746.17,5,5
140,2023-01,1072898,F310,4134.00,2,2
141,2023-01,1072898,F310,4039.14,8,8
142,2023-01,1072898,F310,2311.56,3,3
143,2023-01,1072898,F310,476.08,1,1
145,2023-01,1072898,F310,1888.84,34,34
146,2023-01,1072898,F310,543.97,2,2
147,2023-01,1072898,F310,7715.03,2,2
148,2023-01,1072898,F310,1202.16,2,2
148,2023-01,1122372,F310,4332.64,1,1
149,2023-01,1072898,F310,1074.67,2,2
150,2023-01,1072898,F310,1270.13,4,4
151,2023-01,1072898,F310,244.26,2,2
152,2023-01,1122372,F310,104.63,1,1
154,2023-01,1072898,F310,561.34,2,2
155,2023-01,1072898,F310,2295.80,2,2
155,2023-01,1122372,F310,697.50,1,1
156,2023-01,1072898,F310,2456.75,2,2
157,2023-01,1072898,F310,1322.94,3,3
159,2023-01,1072898,F310,1048.22,2,2
160,2023-01,1072898,F310,5085.77,3,3
160,2023-01,514278,F310,35.34,1,1
161,2023-01,1072898,F310,6121.40,2,2
161,2023-01,514278,F310,62.40,2,2
163,2023-01,1072898,F310,5347.03,3,3
164,2023-01,1072898,F310,2957.56,3,3
166,2023-01,1072898,F310,12576.94,3,3
166,2023-01,1122372,F310,5649.75,2,2
167,2023-01,1072898,F310,3072.20,4,4
167,2023-01,514278,F310,182.00,1,1
170,2023-01,1072898,F310,477.79,2,2
171,2023-01,1072898,F310,291.78,2,2
173,2023-01,1072898,F310,1930.75,3,3
174,2023-01,1072898,F310,2399.33,3,3
174,2023-01,719045,F310,98.80,9,9
175,2023-01,1072898,F310,1494.50,3,3
176,2023-01,1072898,F310,116.25,3,3
177,2023-01,1072898,F310,18.60,1,1
181,2023-01,1072898,F310,1976.00,2,2
182,2023-01,1072898,F310,746.20,2,2
188,2023-01,1072898,F310,2853.37,3,3
188,2023-01,1122372,F310,279.00,6,6
192,2023-01,1072898,F310,103.89,2,2
200,2023-01,1072898,F310,694.20,2,2
202,2023-01,1122372,F310,137740.87,100,100
202,2023-01,514278,F310,4141.44,12,12
203,2023-01,1122372,F310,56.34,2,2
204,2023-01,1122372,F310,220.88,2,2
206,2023-01,1072898,F310,139.50,1,1
209,2023-01,1072898,F310,2673.75,1,1
210,2023-01,1072898,F310,861.35,2,2
211,2023-01,1072898,F310,139.50,1,1
211,2023-01,1122372,F310,139.50,1,1
212,2023-01,1072898,F310,706.86,3,3
212,2023-01,1122372,F310,81.38,1,1
213,2023-01,1072898,F310,416.02,1,1
213,2023-01,1122372,F310,8190.16,12,12
216,2023-01,1072898,F310,1277.82,1,1
217,2023-01,1072898,F310,431.58,1,1
217,2023-01,1122372,F310,1082.74,6,6
218,2023-01,1072898,F310,8780.11,1,1
218,2023-01,514278,F310,8012.38,15,15
219,2023-01,1072898,F310,2286.53,6,6
219,2023-01,1122372,F310,585.90,14,14
222,2023-01,1072898,F310,6301.37,24,24
223,2023-01,1122372,F310,20770.49,41,41
223,2023-01,514278,F310,111.01,2,2
224,2023-01,1072898,F310,1395.00,2,2
225,2023-01,1072898,F310,686.40,2,2
226,2023-01,1122372,F310,5144.10,15,15
227,2023-01,1072898,F310,686.40,2,2
227,2023-01,1122372,F310,174.45,15,15
228,2023-01,1072898,F310,410.15,1,1
228,2023-01,1122372,F310,233.12,8,8
230,2023-01,1072898,F310,956.75,3,3
230,2023-01,514278,F310,136.41,3,3
231,2023-01,1072898,F310,66.65,1,1
232,2023-01,1072898,F310,613.80,2,2
232,2023-01,2474100,F310,291.94,4,4
233,2023-01,1072898,F310,2613.98,3,3
233,2023-01,1122372,F310,13.95,3,3
233,2023-01,514278,F310,10.40,1,1
234,2023-01,1072898,F310,1498.85,3,3
234,2023-01,1122372,F310,969.08,7,7
235,2023-01,1072898,F310,3263.04,2,2
235,2023-01,1122372,F310,2838.77,12,12
236,2023-01,1072898,F310,1124.34,3,3
236,2023-01,1122372,F310,2344.08,24,24
236,2023-01,514278,F310,159.92,2,2
237,2023-01,1072898,F310,499.88,1,1
240,2023-01,1072898,F310,1500.67,4,4
240,2023-01,1122372,F310,1187.98,4,4
241,2023-01,1072898,F310,613.29,1,1
241,2023-01,1122372,F310,773.29,21,21
241,2023-01,1810611,F310,1124.34,7,7
241,2023-01,349963,F310,13906.39,48,48
241,2023-01,514278,F310,302.46,5,5
242,2023-01,1072898,F310,1248.00,1,1
243,2023-01,1072898,F310,930.00,1,1
244,2023-01,1072898,F310,162.75,1,1
248,2023-01,1072898,F310,162.75,1,1
249,2023-01,1072898,F310,1159.97,2,2
250,2023-01,1072898,F310,1362.07,2,2
250,2023-01,1122372,F310,348.88,20,20
251,2023-01,1072898,F310,796.93,3,3
251,2023-01,1122372,F310,459.46,3,3
252,2023-01,1072898,F310,113.30,2,2
252,2023-01,1122372,F310,1523.35,3,3
256,2023-01,1072898,F310,83.71,2,2
257,2023-01,1072898,F310,324.44,2,2
258,2023-01,1072898,F310,5218.91,3,3
259,2023-01,1072898,F310,1452.79,2,2
259,2023-01,1122372,F310,5980.67,2,2
259,2023-01,514278,F310,6.98,1,1
261,2023-01,1072898,F310,796.48,2,2
261,2023-01,1122372,F310,307.70,19,19
262,2023-01,1122372,F310,34.41,5,5
269,2023-01,1072898,F310,359.99,2,2
270,2023-01,1072898,F310,1174.78,4,4
270,2023-01,1122372,F310,497.05,23,23
271,2023-01,1072898,F310,2547.17,3,3
271,2023-01,1122372,F310,90.62,7,7
271,2023-01,514278,F310,748.17,1,1
273,2023-01,1072898,F310,469.65,2,2
276,2023-01,1072898,F310,511.33,2,2
278,2023-01,1072898,F310,3420.09,4,4
279,2023-01,1072898,F310,680.89,1,1
282,2023-01,1072898,F310,470.43,1,1
286,2023-01,1072898,F310,3708.71,2,2
286,2023-01,514278,F310,34.92,2,2
287,2023-01,1072898,F310,1561.25,3,3
287,2023-01,1122372,F310,262.52,6,6
292,2023-01,1072898,F310,474.99,3,3
292,2023-01,514278,F310,36.40,2,2
293,2023-01,1072898,F310,1386.63,2,2
293,2023-01,1122372,F310,103.00,22,22
298,2023-01,1072898,F310,279.00,1,1
298,2023-01,514278,F310,19.14,2,2
302,2023-01,1072898,F310,313.88,1,1
309,2023-01,1072898,F310,1204.67,2,2
309,2023-01,1122372,F310,25.92,6,6
309,2023-01,514278,F310,41.60,4,4
310,2023-01,1072898,F310,62.61,3,3
316,2023-01,1072898,F310,5490.15,16,16
318,2023-01,1072898,F310,4206.99,23,23
322,2023-01,1072898,F310,182.00,1,1
324,2023-01,1072898,F310,78.39,1,1
325,2023-01,1072898,F310,11.63,1,1
343,2023-01,1072898,F310,381.69,1,1
344,2023-01,1072898,F310,1347.14,3,3
344,2023-01,1122372,F310,13.95,3,3
344,2023-01,514278,F310,2957.27,65,65
345,2023-01,1072898,F310,93.00,1,1
346,2023-01,1072898,F310,176.70,1,1
349,2023-01,1072898,F310,102.96,1,1
349,2023-01,1122372,F310,512.50,8,8
349,2023-01,514278,F310,78.00,3,3
351,2023-01,1072898,F310,7900.82,2,2
352,2023-01,1072898,F310,135.67,3,3
354,2023-01,1122372,F310,14.84,1,1
356,2023-01,1072898,F310,155.54,3,3
357,2023-01,1072898,F310,1981.22,3,3
