MarketCode,year_month,AdvParentCode,PCCSubCode,spend_total,units_total,n_spots
101,2022-01,1072898,F310,47067.43,1,1
101,2022-01,491893,F310,2808.00,9,9
104,2022-01,1072898,F310,3634.48,3,3
105,2022-01,1072898,F310,5359.59,1,1
106,2022-01,1072898,F310,20834.04,28,28
106,2022-01,7824,F310,98268.42,11,11
108,2022-01,1122372,F310,211.60,8,8
108,2022-01,74498,F310,8560.49,3,3
110,2022-01,1072898,F310,2849.89,3,3
110,2022-01,7824,F310,5187.66,2,2
111,2022-01,1072898,F310,25159.92,10,10
113,2022-01,514278,F310,37.20,1,1
114,2022-01,1072898,F310,567.56,3,3
115,2022-01,1072898,F310,1144.26,1,1
117,2022-01,1072898,F310,701.27,1,1
117,2022-01,7824,F310,1318.72,1,1
123,2022-01,1072898,F310,385.86,6,6
124,2022-01,1122372,F310,43.90,1,1
127,2022-01,1072898,F310,108.39,1,1
127,2022-01,74498,F310,3307.10,11,11
128,2022-01,1072898,F310,332.70,4,4
128,2022-01,1122372,F310,592.88,1,1
128,2022-01,1810611,F310,9735.30,28,28
128,2022-01,514278,F310,1242.13,1,1
133,2022-01,1072898,F310,512.97,9,9
133,2022-01,491893,F310,187.20,2,2
134,2022-01,1658405,F310,23595.57,10,10
137,2022-01,1072898,F310,26.73,3,3
138,2022-01,1072898,F310,112.17,2,2
139,2022-01,1072898,F310,15995.41,4,4
139,2022-01,514278,F310,69.75,1,1
144,2022-01,2772228,F310,1562.34,29,29
147,2022-01,514278,F310,44.95,1,1
148,2022-01,1810611,F310,1910.00,20,20
159,2022-01,1072898,F310,39.45,2,2
161,2022-01,1072898,F310,26.63,3,3
164,2022-01,1072898,F310,731.02,2,2
165,2022-01,1072898,F310,196.47,2,2
166,2022-01,1122372,F310,7316.01,11,11
167,2022-01,1072898,F310,150.97,2,2
169,2022-01,1072898,F310,23.70,2,2
174,2022-01,514278,F310,9.30,1,1
177,2022-01,1072898,F310,247.76,2,2
188,2022-01,1122372,F310,3494.46,6,6
188,2022-01,491893,F310,3907.80,3,3
198,2022-01,1072898,F310,3.87,1,1
200,2022-01,1072898,F310,146.18,2,2
200,2022-01,1122372,F310,293.49,15,15
202,2022-01,1072898,F310,2526.74,3,3
202,2022-01,1122372,F310,103256.01,141,141
202,2022-01,514278,F310,55084.78,64,64
209,2022-01,1072898,F310,1525.10,3,3
213,2022-01,1072898,F310,546.79,4,4
213,2022-01,1122372,F310,1618.20,6,6
218,2022-01,1072898,F310,770.98,2,2
219,2022-01,1122372,F310,92.55,15,15
222,2022-01,403166,F310,280.28,1,1
222,2022-01,,,718.27,9,9
223,2022-01,1122372,F310,3532.35,34,34
223,2022-01,514278,F310,142.39,2,2
225,2022-01,1072898,F310,425.77,3,3
225,2022-01,1122372,F310,196.36,19,19
226,2022-01,1122372,F310,1039.57,7,7
227,2022-01,1072898,F310,11.46,2,2
227,2022-01,1122372,F310,2760.66,14,14
228,2022-01,1072898,F310,40.26,2,2
228,2022-01,1122372,F310,585.96,12,12
230,2022-01,1072898,F310,96.00,2,2
232,2022-01,1072898,F310,24.63,2,2
232,2022-01,2474100,F310,127.40,3,3
233,2022-01,1122372,F310,50.32,7,7
234,2022-01,1122372,F310,6.51,7,7
235,2022-01,1122372,F310,449.71,17,17
236,2022-01,1122372,F310,793.28,16,16
240,2022-01,1072898,F310,371.62,2,2
241,2022-01,1072898,F310,864.67,8,8
241,2022-01,1122372,F310,1000.35,15,15
241,2022-01,349963,F310,244.38,2,2
242,2022-01,1072898,F310,48.31,2,2
248,2022-01,1072898,F310,100.65,1,1
250,2022-01,1122372,F310,453.22,19,19
257,2022-01,1122372,F310,4.50,1,1
258,2022-01,1072898,F310,936.00,1,1
261,2022-01,1122372,F310,244.20,15,15
262,2022-01,1122372,F310,139.60,20,20
270,2022-01,1072898,F310,48.86,2,2
270,2022-01,1122372,F310,187.97,19,19
279,2022-01,1072898,F310,654.23,3,3
282,2022-01,1072898,F310,79.64,1,1
291,2022-01,1072898,F310,110.20,2,2
293,2022-01,1122372,F310,96.76,12,12
302,2022-01,1072898,F310,5.85,1,1
309,2022-01,1072898,F310,11.15,1,1
309,2022-01,1122372,F310,63.72,20,20
310,2022-01,1072898,F310,15.48,2,2
316,2022-01,,,1259.93,9,9
324,2022-01,349963,F310,117.87,2,2
325,2022-01,1072898,F310,27.46,2,2
343,2022-01,1122372,F310,214.29,5,5
343,2022-01,514278,F310,239.63,3,3
344,2022-01,1122372,F310,26.74,3,3
344,2022-01,514278,F310,31.38,3,3
345,2022-01,1072898,F310,12.88,2,2
351,2022-01,1072898,F310,12.38,2,2
351,2022-01,1122372,F310,114.62,1,1
353,2022-01,1810611,F310,104.78,1,1
353,2022-01,514278,F310,744.38,1,1
354,2022-01,1072898,F310,18.58,2,2
356,2022-01,1072898,F310,12.38,2,2
362,2022-01,1072898,F310,7.74,2,2
364,2022-01,1072898,F310,7.74,1,1
365,2022-01,1072898,F310,7247.60,91,91
365,2022-01,1122372,F310,221.00,15,15
366,2022-01,1072898,F310,9.30,2,2
370,2022-01,1122372,F310,108.26,2,2
371,2022-01,514278,F310,7979.89,68,68
389,2022-01,1072898,F310,16.28,5,5
390,2022-01,1072898,F310,8.68,1,1
400,2022-01,1122372,F310,72.89,8,8
400,2022-01,514278,F310,39.52,2,2
401,2022-01,1072898,F310,37.50,2,2
402,2022-01,1072898,F310,10.32,1,1
403,2022-01,1072898,F310,469.29,4,4
403,2022-01,1122372,F310,147.87,1,1
403,2022-01,1658405,F310,460166.94,23,23
403,2022-01,514278,F310,1784.21,6,6
404,2022-01,2534399,F310,22379.30,297,297
404,2022-01,514278,F310,197.77,2,2
407,2022-01,1122372,F310,244.16,7,7
407,2022-01,514278,F310,647.31,5,5
410,2022-01,1122372,F310,5.58,1,1
411,2022-01,1072898,F310,13.05,1,1
411,2022-01,1122372,F310,278.98,27,27
411,2022-01,514278,F310,1372.88,13,13
425,2022-01,1072898,F310,720.46,2,2
425,2022-01,514278,F310,499.20,1,1
439,2022-01,1072898,F310,153.86,3,3
439,2022-01,1122372,F310,2435.41,5,5
439,2022-01,514278,F310,1524.17,7,7
462,2022-01,1072898,F310,54.68,2,2
466,2022-01,514278,F310,124.80,1,1
468,2022-01,1072898,F310,54.52,2,2
481,2022-01,1072898,F310,2.92,2,2
100,2022-02,1072898,F310,23.87,1,1
100,2022-02,1810611,F310,32.37,2,2
101,2022-02,1072898,F310,934170.12,313,313
101,2022-02,1122372,F310,2598.83,3,3
101,2022-02,1810611,F310,5509.49,3,3
101,2022-02,491893,F310,891.44,8,8
101,2022-02,514278,F310,12159.50,14,14
102,2022-02,1072898,F310,204.02,2,2
102,2022-02,1810611,F310,491.39,19,19
103,2022-02,1810611,F310,119.46,3,3
104,2022-02,1072898,F310,82842.45,77,77
104,2022-02,1810611,F310,586.89,2,2
105,2022-02,1072898,F310,485.92,2,2
105,2022-02,1810611,F310,2332.51,8,8
106,2022-02,1072898,F310,4119.86,8,8
106,2022-02,1122372,F310,404.39,3,3
106,2022-02,1810611,F310,1014.29,7,7
107,2022-02,1072898,F310,60.46,2,2
107,2022-02,1810611,F310,197.92,2,2
108,2022-02,1072898,F310,1302.00,2,2
108,2022-02,1122372,F310,946.07,12,12
108,2022-02,1810611,F310,555.99,5,5
109,2022-02,1072898,F310,65.82,2,2
109,2022-02,1810611,F310,120.34,4,4
110,2022-02,1072898,F310,492.90,1,1
110,2022-02,1810611,F310,335.74,5,5
111,2022-02,1072898,F310,85607.07,169,169
111,2022-02,1810611,F310,1207.21,8,8
112,2022-02,1072898,F310,541.39,1,1
112,2022-02,1810611,F310,271.44,3,3
113,2022-02,1072898,F310,155.00,1,1
113,2022-02,1810611,F310,69.49,1,1
114,2022-02,1072898,F310,23086.52,7,7
114,2022-02,1810611,F310,166.86,2,2
115,2022-02,1072898,F310,247.30,1,1
115,2022-02,1810611,F310,162.10,3,3
116,2022-02,1072898,F310,325.50,2,2
116,2022-02,1810611,F310,36.06,4,4
117,2022-02,1072898,F310,1674.00,2,2
117,2022-02,1810611,F310,742.98,3,3
118,2022-02,1072898,F310,161.64,3,3
118,2022-02,1810611,F310,193.43,4,4
119,2022-02,1072898,F310,83.47,1,1
119,2022-02,1810611,F310,292.29,4,4
120,2022-02,1810611,F310,59.70,3,3
121,2022-02,1072898,F310,561.32,2,2
121,2022-02,1810611,F310,309.26,7,7
122,2022-02,1072898,F310,151.13,1,1
122,2022-02,1810611,F310,556.54,6,6
123,2022-02,1810611,F310,15.16,1,1
124,2022-02,1072898,F310,192897.80,168,168
124,2022-02,1810611,F310,1846.89,5,5
126,2022-02,1072898,F310,162.75,1,1
127,2022-02,1072898,F310,409.05,1,1
127,2022-02,1810611,F310,76.05,2,2
127,2022-02,514278,F310,46.31,1,1
128,2022-02,1072898,F310,125916.71,390,390
128,2022-02,1122372,F310,1978.98,3,3
128,2022-02,1810611,F310,2845.83,18,18
128,2022-02,514278,F310,676.00,1,1
128,2022-02,74498,F310,150236.07,181,181
129,2022-02,1072898,F310,279.00,1,1
129,2022-02,1810611,F310,240.50,4,4
130,2022-02,1072898,F310,48.83,1,1
130,2022-02,1810611,F310,55.50,2,2
131,2022-02,1072898,F310,48.44,1,1
131,2022-02,1810611,F310,41.17,3,3
132,2022-02,1072898,F310,279.00,2,2
132,2022-02,1810611,F310,347.60,4,4
133,2022-02,1072898,F310,325.50,1,1
133,2022-02,1810611,F310,808.46,6,6
133,2022-02,514278,F310,377.12,2,2
134,2022-02,1072898,F310,1162.50,1,1
134,2022-02,1810611,F310,443.05,4,4
134,2022-02,514278,F310,143.84,2,2
134,2022-02,74498,F310,42895.06,65,65
135,2022-02,1072898,F310,280.37,1,1
135,2022-02,1810611,F310,257.67,2,2
136,2022-02,1072898,F310,9.30,2,2
136,2022-02,1810611,F310,103.17,5,5
137,2022-02,1810611,F310,5.18,3,3
138,2022-02,1072898,F310,99.52,2,2
138,2022-02,1810611,F310,115.67,5,5
139,2022-02,1072898,F310,2790.00,2,2
139,2022-02,1810611,F310,550.42,4,4
139,2022-02,74498,F310,111683.36,175,175
140,2022-02,1072898,F310,91.14,1,1
140,2022-02,1810611,F310,203.36,5,5
