MarketCode,year_month,AdvParentCode,PCCSubCode,spend_total,units_total,n_spots
100,2016-12,1072898,F310,0.00,19,19
100,2016-12,1122372,F310,0.00,11,11
100,2016-12,1810611,F310,11.00,11,11
101,2016-12,1072898,F310,0.00,49,49
101,2016-12,1122372,F310,0.00,71,71
101,2016-12,1810611,F310,2250.00,56,56
101,2016-12,514278,F310,0.00,45,45
101,2016-12,7824,F310,1297.00,65,65
102,2016-12,1072898,F310,0.00,23,23
102,2016-12,1122372,F310,0.00,2,2
102,2016-12,1810611,F310,18.00,8,8
103,2016-12,1072898,F310,0.00,29,29
103,2016-12,1122372,F310,0.00,11,11
103,2016-12,1810611,F310,0.00,8,8
104,2016-12,1072898,F310,0.00,26,26
104,2016-12,1122372,F310,208.00,56,56
104,2016-12,1810611,F310,551.00,9,9
104,2016-12,74498,F310,0.00,4,4
104,2016-12,777387,F310,0.00,7,7
104,2016-12,7824,F310,726.00,5,5
105,2016-12,1072898,F310,0.00,27,27
105,2016-12,1122372,F310,0.00,65,65
105,2016-12,1810611,F310,663.00,35,35
105,2016-12,514278,F310,0.00,1,1
105,2016-12,7824,F310,902.00,10,10
106,2016-12,1072898,F310,1516.00,46,46
106,2016-12,1122372,F310,0.00,85,85
106,2016-12,1810611,F310,0.00,23,23
106,2016-12,514278,F310,116.00,1,1
106,2016-12,7824,F310,0.00,12,12
107,2016-12,1072898,F310,0.00,28,28
107,2016-12,1122372,F310,0.00,10,10
107,2016-12,1810611,F310,72.00,14,14
107,2016-12,7824,F310,236.00,2,2
108,2016-12,1072898,F310,0.00,27,27
108,2016-12,1122372,F310,0.00,211,211
108,2016-12,1810611,F310,17.00,27,27
108,2016-12,7824,F310,16.00,12,12
109,2016-12,1072898,F310,0.00,21,21
109,2016-12,1122372,F310,0.00,38,38
109,2016-12,1810611,F310,79.00,16,16
110,2016-12,1072898,F310,0.00,32,32
110,2016-12,1122372,F310,0.00,34,34
110,2016-12,1810611,F310,96.00,19,19
110,2016-12,2307162,F310,0.00,8,8
110,2016-12,7824,F310,0.00,15,15
111,2016-12,1072898,F310,0.00,24,24
111,2016-12,1122372,F310,7882.00,107,107
111,2016-12,1810611,F310,211.00,27,27
111,2016-12,74498,F310,0.00,2,2
111,2016-12,7824,F310,2167.00,16,16
112,2016-12,1072898,F310,0.00,28,28
112,2016-12,1122372,F310,0.00,49,49
112,2016-12,1810611,F310,207.00,11,11
112,2016-12,7824,F310,18.00,1,1
113,2016-12,1072898,F310,0.00,24,24
113,2016-12,1122372,F310,0.00,47,47
113,2016-12,1810611,F310,83.00,5,5
114,2016-12,1072898,F310,0.00,23,23
114,2016-12,1122372,F310,0.00,48,48
114,2016-12,1810611,F310,0.00,10,10
115,2016-12,1072898,F310,0.00,30,30
115,2016-12,1122372,F310,0.00,18,18
115,2016-12,1810611,F310,0.00,6,6
115,2016-12,2307162,F310,0.00,12,12
115,2016-12,74498,F310,0.00,6,6
115,2016-12,7824,F310,352.00,14,14
116,2016-12,1072898,F310,0.00,27,27
116,2016-12,1122372,F310,0.00,10,10
116,2016-12,1810611,F310,32.00,12,12
117,2016-12,1072898,F310,0.00,19,19
117,2016-12,1122372,F310,893.00,72,72
117,2016-12,1810611,F310,191.00,31,31
117,2016-12,74498,F310,0.00,8,8
117,2016-12,7824,F310,35.00,1,1
118,2016-12,1072898,F310,0.00,10,10
118,2016-12,1122372,F310,47.00,36,36
118,2016-12,1810611,F310,126.00,15,15
118,2016-12,7824,F310,78.00,4,4
119,2016-12,1072898,F310,0.00,26,26
119,2016-12,1122372,F310,0.00,12,12
119,2016-12,1810611,F310,0.00,14,14
119,2016-12,7824,F310,76.00,4,4
120,2016-12,1072898,F310,0.00,28,28
120,2016-12,1122372,F310,0.00,10,10
120,2016-12,1810611,F310,4.00,14,14
120,2016-12,7824,F310,41.00,1,1
121,2016-12,1072898,F310,111.00,28,28
121,2016-12,1122372,F310,0.00,37,37
121,2016-12,1810611,F310,0.00,8,8
121,2016-12,7824,F310,130.00,2,2
122,2016-12,1072898,F310,0.00,24,24
122,2016-12,1122372,F310,0.00,9,9
122,2016-12,1810611,F310,20.00,6,6
122,2016-12,7824,F310,25.00,1,1
123,2016-12,1072898,F310,0.00,29,29
123,2016-12,1122372,F310,0.00,29,29
123,2016-12,1810611,F310,26.00,15,15
124,2016-12,1072898,F310,0.00,25,25
124,2016-12,1122372,F310,0.00,71,71
124,2016-12,1810611,F310,878.00,37,37
124,2016-12,74498,F310,0.00,7,7
124,2016-12,7824,F310,506.00,16,16
125,2016-12,1072898,F310,0.00,10,10
125,2016-12,1122372,F310,0.00,8,8
125,2016-12,1810611,F310,30.00,8,8
126,2016-12,1072898,F310,0.00,6,6
126,2016-12,1122372,F310,0.00,15,15
126,2016-12,1810611,F310,0.00,7,7
127,2016-12,1072898,F310,0.00,30,30
127,2016-12,1122372,F310,0.00,20,20
127,2016-12,1810611,F310,269.00,20,20
127,2016-12,7824,F310,0.00,7,7
128,2016-12,1072898,F310,0.00,49,49
128,2016-12,1122372,F310,0.00,62,62
128,2016-12,1810611,F310,0.00,20,20
128,2016-12,514278,F310,0.00,4,4
128,2016-12,7824,F310,0.00,17,17
129,2016-12,1072898,F310,0.00,26,26
129,2016-12,1122372,F310,0.00,64,64
129,2016-12,1810611,F310,45.00,30,30
